Members Expense Disclosure - January to March 2019,,,,,,,,
,,,,,,,,,
Party,Member,Accommodation,,Travel,,,Grand Total,Inter-Parliamentary
,,Wellington,Non Wellington,Air,Surface,VIP Transport,,Office of the Clerk
,,,,,,,,,
Act,"Seymour, David","5,820",302,"7,717","4,948",                          -,"18,787",                          -
Act Total,,"5,820",302,"7,717","4,948",                          -,"18,787",                          -
,,,,,,,,,
Green,"Davidson, Marama","7,134",                          -,"10,472",438,                          -,"18,044",                          -
,"Genter, Julie-Anne",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Gharahman, Golriz (1)","7,207",416,"5,475","3,110",                          -,"16,208",                          -
,"Hughes, Gareth",                          -,247,"7,096",637,                          -,"7,979",                          -
,"Logie, Jan",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Sage, Eugenie",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Shaw, James",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Swarbrick, Chloe","7,134",                          -,"12,206","2,153",                          -,"21,493",                          -
Green Total,,"21,476",662,"35,248","6,338",                          -,"63,724",                          -
,,,,,,,,,
Independent,"Ross, Jami-Lee","7,134",                          -,"4,203",777,                          -,"12,115",                          -
Independent Total,,"7,134",                          -,"4,203",777,                          -,"12,115",                          -
,,,,,,,,,
Labour,"Allan, Kiri","7,134","1,941","7,061","5,918",                          -,"22,055",                          -
,"Andersen, Ginny",                          -,145,998,"1,197",                          -,"2,339",                          -
,"Ardern, Jacinda",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Clark, David",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Coffey, Tamati","4,994",837,"8,090",932,                          -,"14,853",                          -
,"Craig, Liz","7,134",180,"5,058",779,                          -,"13,151","7,653"
,"Curran, Clare","7,134","1,084","5,429","2,410",                          -,"16,057",                          -
,"Davis, Kelvin",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Dyson, Ruth","7,134",360,"4,075","3,887",                          -,"15,456",                          -
,"Eagle, Paul",                          -,"2,649","9,200","3,434",                          -,"15,283",                          -
,"Faafoi, Kris",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,Henare Peeni,                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Hipkins, Chris",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Huo, Raymond","4,005",330,"3,593","3,349",                          -,"11,276",                          -
,"Jackson, Willie",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Kanongata'a-Suisuiki, Anahila","7,134","2,233","9,809","8,911",                          -,"28,087",                          -
,"Lees-Galloway, Iain",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Little, Andrew",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Lubeck, Marja","1,282",417,"3,534","2,563",                          -,"7,796",                          -
,"Luxton, Jo","7,134",662,"5,852","1,516",                          -,"15,164",                          -
,"McAnulty, Kieran","7,134",405,"1,521","1,434",                          -,"10,494",                          -
,"Mahuta, Nanaia",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Mallard, Trevor (2)",                          -,360,"2,895","4,099",                          -,"7,354","12,430"
,"Nash, Stuart",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"O'Connor, Greg",                          -,417,"1,841","2,876",                          -,"5,134",                          -
,"O'Connor, Damien",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Parker, David",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Prime, Willow-Jean","7,134",774,"4,577","3,910",                          -,"16,395",                          -
,"Radhakrishnan, Priyanca","7,134",655,"5,506",186,                          -,"13,481","10,930"
,"Robertson, Grant",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Russell, Deborah","7,134",290,"3,484","2,388",                          -,"13,296",                          -
,"Rurawhe, Adrian","7,134","1,049","3,952","5,050",                          -,"17,186",                          -
,"Sepuloni, Carmel",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Salesa, Jenny",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Sio, Aupito William",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Strange, Jamie","7,134","1,646","9,041","6,161",                          -,"23,982",                          -
,"Tinetti, Jan","7,134",398,"3,770","2,285",                          -,"13,588",                          -
,"Tirikatene, Rino",                          -,"2,237","11,361","9,532",                          -,"23,129",                          -
,"Twyford, Phil",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Wall, Louisa","7,134",290,"7,376","3,653",                          -,"18,453",                          -
,"Warren-Clark, Angie","7,134",920,"5,167","3,761",                          -,"16,983",                          -
,"Webb, Duncan","7,134",330,"5,134","2,611",                          -,"15,209",                          -
,"Whaitiri, Meka","7,134",823,"6,796","4,925",                          -,"19,678",                          -
,"Williams, Poto","4,281",220,"7,286","1,242",                          -,"13,028",                          -
,"Wood, Michael",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Woods, Megan",                          -,                          -,                          -,                          -,                          -,                          -,                          -
Labour Total,,"135,843","21,651","142,403","89,009",                          -,"388,907","31,013"
,,,,,,,,,
National,"Adams, Amy ","7,134",313,"6,399","2,539",                          -,"16,385",                          -
,"Bakshi, Kanwaljit Singh ","7,134",157,"3,458","3,980",                          -,"14,729","5,531"
,"Bennett, David ",917,604,"4,546","3,307",                          -,"9,374",                          -
,"Barry, Maggie ","7,134",537,"3,966",44,                          -,"11,681",                          -
,"Bayly, Andrew ","7,134",157,"2,149","4,646",                          -,"14,085","3,981"
,"Bennett, Paula ","7,134",940,"8,254","2,895",                          -,"19,223",                          -
,"Bidois, Dan ","7,134",313,"3,184","2,650",                          -,"13,282",                          -
,"Bishop, Chris ",                          -,504,"5,823","4,786",                          -,"11,114",                          -
,"Bridges, Simon (2) (3) ","7,134","2,355","16,149","10,805","7,711","44,153",                          -
,"Brownlee, Gerry ","7,134",185,"7,868","6,274",                          -,"21,461",                          -
,"Brown, Simeon ","7,134",313,"5,420","4,257",                          -,"17,125",                          -
,"Collins, Judith ","7,134",313,"6,480","7,084",                          -,"21,011",                          -
,"Dean, Jacqui ","7,134",957,"5,618","7,621",                          -,"21,330",                          -
,"Doocey, Matt ","7,134","1,657","9,533","4,219",                          -,"22,543",                          -
,"Dowie, Sarah ","7,134",313,"5,404","1,043",                          -,"13,894",                          -
,"Falloon, Andrew ","7,134","2,394","6,289","7,044",                          -,"22,861",                          -
,"Finlayson, Chris ",                          -,                          -,426,810,                          -,"1,236",                          -
,"Goldsmith, Paul ","7,134",317,"7,725","3,516",                          -,"18,692",                          -
,"Guy, Nathan ","7,134",510,"4,711","1,701",                          -,"14,057",                          -
,"Hayes, Joanne ","7,134","1,574","7,663","5,171",                          -,"21,543",                          -
,"Hipango, Harete ","1,696",553,"3,583","6,420",                          -,"12,252",                          -
,"Hudson, Brett ",                          -,659,"1,164","2,485",                          -,"4,308",                          -
,"Kaye, Nikki ","7,134",861,"5,415","8,584",                          -,"21,994",                          -
,"King, Matt ","7,134",485,"4,598","2,276",                          -,"14,494",                          -
,"Korako, Nuk ","7,134","1,051","9,829","3,772",                          -,"21,786",                          -
