Members Expense Disclosure - July to September 2018,,,,,,,,
,,,,,,,,,
Party,Member,Accommodation,,Travel,,VIP,Grand Total,Inter-Parliamentary
,,Wellington,Non Wellington,Air,Surface,Transport,,Office of the Clerk
,,,,,,,,,
Act,"Seymour, 
David","5,820",788,"7,673","2,985", - ,"17,265", - 
Act Total,,"5,820",788,"7,673","2,985", - ,"17,265", - 
,,,,,,,,,
Green,"Davidson, Marama","7,134",994,"9,956","4,125", - ,"22,208", - 
,"Genter, 
Julie-Anne", - , - , - , - , - , - , - 
,"Gharahman, Golriz","2,114",417,"10,548","1,953", - ,"15,033", - 
,"Hughes, 
Gareth", - ,"2,064","11,120","1,578", - ,"14,763","1,283"
,"Logie, 
Jan", - , - , - , - , - , - , - 
,"Sage, 
Eugenie", - , - , - , - , - , - , - 
,"Shaw, 
James", - , - , - , - , - , - , - 
,"Swarbrick, Chloe","4,132",741,"6,892","2,719", - ,"14,484","13,197"
Green Total,,"13,381","4,216","38,517","10,375", - ,"66,488","14,481"
,,,,,,,,,
Labour,"Allan, 
Kiri","7,134","1,234","9,221","2,500", - ,"20,089", - 
,"Andersen, 
Ginny", - , - ,"4,038","1,026", - ,"5,063", - 
,"Ardern, 
Jacinda", - , - , - , - , - , - , - 
,"Clark, 
David", - , - , - , - , - , - , - 
,"Coffey, 
Tamati","4,994",582,"8,844","4,632", - ,"19,052", - 
,"Craig,
Liz","7,134",148,"5,109",817, - ,"13,208", - 
,"Curran, 
Clare",764, - ,"2,250", - , - ,"3,014", - 
,"Davis, 
Kelvin", - , - , - , - , - , - , - 
,"Dyson, 
Ruth","7,134", - ,"5,035","3,883", - ,"16,052", - 
,"Eagle,
Paul", - ,"1,033","4,702","1,447", - ,"7,181", - 
,"Faafoi, 
Kris", - , - , - , - , - , - , - 
,"Henare, 
Peeni", - , - , - , - , - , - , - 
,"Hipkins, 
Chris", - , - , - , - , - , - , - 
,"Huo, 
Raymond","4,153",44,"5,102","2,701", - ,"12,001", - 
,"Jackson, 
Willie", - , - , - , - , - , - , - 
,"Kanongata'a-Suisuiki, Anahila","7,134",141,"7,401","3,167", - ,"17,843","2,968"
,"Lees-Galloway, Iain", - , - , - , - , - , - , - 
,"Little, 
Andrew", - , - , - , - , - , - , - 
,"Lubeck, 
Marja","4,292", - ,"7,225","4,642", - ,"16,159", - 
,"Luxton, 
Jo","7,134", - ,"5,058",843, - ,"13,035",223
,"McAnulty, Kieran","7,134",711,"2,543","1,823", - ,"12,211", - 
,"Mahuta, 
Nanaia", - , - , - , - , - , - , - 
,"Mallard, 
Trevor (1)", - , - ,"4,832","1,833",491,"7,156","3,330"
,"Nash, 
Stuart", - , - , - , - , - , - , - 
,"O'Connor, 
Greg", - ,367,"3,372","2,814", - ,"6,552","1,175"
,"O'Connor, Damien", - , - , - , - , - , - , - 
,"Parker, 
David", - , - , - , - , - , - , - 
