Members Expense Disclosure - 1 October to 31 December 2018,,,,,,,,
Party,Member,Accommodation,,Travel,,,Grand Total,Inter-Parliamentary
,,Wellington,Non Wellington,Air,Surface,VIP Transport,,Office of the Clerk
,,,,,,,,,
Act,"Seymour, David","6,790","1,055","10,042","5,966",                          -,"23,853",                                       -
Act Total,,"6,790","1,055","10,042","5,966",                          -,"23,853",                                       -
,,,,,,,,,
Green,"Davidson, Marama","8,323","2,209","13,132","5,338",                          -,"29,002",                                       -
,"Genter, Julie-Anne", - ,                               -,                          -,                          -,                          -,                        -   ,                                       -
,"Gharahman, Golriz",848,387,"6,000","1,974",                          -,"9,209",                                       -
,"Hughes, Gareth",                                -,"1,119","8,259","2,196",                          -,"11,573",190
,"Logie, Jan",                                -,                               -,                          -,                          -,                          -,                        -   ,                                       -
,"Sage, Eugenie",                                -,                               -,                          -,                          -,                          -,                        -   ,                                       -
,"Shaw, James",                                -,                               -,                          -,                          -,                          -,                        -   ,                                       -
,"Swarbrick, Chloe","7,253",732,"9,033","3,864",                          -,"20,883",                                       -
Green Total,,"16,424","4,448","36,424","13,372",                          -,"70,668",190
,,,,,,,,,
Independent,"Ross, Jami-Lee","5,940",                               -,671,"1,860",                          -,"8,471",                                       -
Independent Total,,"5,940",                               -,671,"1,860",                          -,"8,471",                                       -
,,,,,,,,,
Labour,"Allan, Kiri","8,323","2,384","9,020","4,937",                          -,"24,664",                                       -
,"Andersen, Ginny",                                -,957,"2,365","6,284",                          -,"9,606",                                       -
,"Ardern, Jacinda",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Clark, David",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Coffey, Tamati","5,826",243,"6,447","1,314",                          -,"13,831",                                       -
,"Craig, Liz","8,323",                               -,"6,487",854,                          -,"15,665",                                       -
,"Curran, Clare","8,323",                               -,"3,443","2,814",                          -,"14,580",                                       -
,"Davis, Kelvin",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Dyson, Ruth","8,323",452,"8,524","7,725",                          -,"25,024",                                       -
,"Eagle, Paul",                                -,822,"6,868","2,627",                          -,"10,317","2,491"
,"Faafoi, Kris",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Henare, Peeni",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Hipkins, Chris",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Huo, Raymond","3,392",530,"6,420","2,952",                          -,"13,294",                                       -
,"Jackson, Willie",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Kanongata'a-Suisuiki, Anahila","8,323",961,"6,429","7,012",                          -,"22,726","2,870"
,"Lees-Galloway, Iain",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Little, Andrew",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Lubeck, Marja","5,933",296,"7,023","4,134",                          -,"17,385",                                       -
,"Luxton, Jo","8,323",697,"6,402","1,595",                          -,"17,017",                                       -
,"McAnulty, Kieran","8,323",801,"4,174","4,521",                          -,"17,820","13,167"
,"Mahuta, Nanaia",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Mallard, Trevor (1) (2)",                                -,                               -,"3,611","1,808",43,"5,462","15,591"
,"Nash, Stuart",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"O'Connor, Greg",                                -,532,"2,132","3,281",                          -,"5,945","17,488"
,"O'Connor, Damien",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Parker, David",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Prime, Willow-Jean","8,323","1,037","10,229","3,192",                          -,"22,782","7,281"
,"Radhakrishnan, Priyanca","8,323",185,"7,877","10,827",                          -,"27,213",190
,"Robertson, Grant",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Russell, Deborah","8,323",597,"5,649","3,931",                          -,"18,500",                                       -
,"Rurawhe, Adrian","8,323","1,428","4,089","6,272",                          -,"20,112","7,436"
,"Sepuloni, Carmel",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Salesa, Jenny",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Sio, Aupito William",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Strange, Jamie","7,266","1,715","10,465","3,478",                          -,"22,924",                                       -
,"Tinetti, Jan","8,323",826,"9,571","3,228",                          -,"21,948","6,975"
,"Tirikatene, Rino",                                -,"2,165","6,259","3,401",                          -,"11,825",                                       -
,"Twyford, Phil",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Wall, Louisa","8,323","1,157","5,569","4,719",                          -,"19,768",                                       -
,"Warren-Clark, Angie","8,323","2,650","9,076","5,084",                          -,"25,133",                                       -
,"Webb, Duncan","8,323",                               -,"3,167","2,713",                          -,"14,203",                                       -
,"Whaitiri, Meka","7,984","1,183","13,030","3,920",                          -,"26,117",                                       -
,"Williams, Poto","4,832",177,"7,290","2,275",                          -,"14,574","5,612"
,"Wood, Michael",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Woods, Megan",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
Labour Total,,"160,081","21,796","171,615","104,900",43,"458,435","79,100"
,,,,,,,,,
National,"Adams, Amy","8,323","1,141","7,532","5,839",                          -,"22,834",                                       -
,"Bakshi, Kanwaljit Singh","8,323",390,"10,537","8,874",                          -,"28,124",                                       -
,"Bennett, David","3,703",610,"5,548","2,899",                          -,"12,760",                                       -
,"Barry, Maggie (3)","9,597",                               -,"8,834","6,203",                          -,"24,634",                                       -
,"Bayly, Andrew","8,323",195,"7,083","6,006",                          -,"21,607",                                       -
,"Bennett, Paula (4)","8,323",950,"-5,057","6,799",                          -,"11,016",                                       -
,"Bidois, Dan","5,134",                               -,"5,863","4,129",                          -,"15,126",190
,"Bishop, Chris",                                -,778,"5,398","6,236",                          -,"12,413",                                       -
,"Bridges, Simon (1) (5)","8,323","3,676","13,299","5,799","13,756","44,852",                                       -
,"Brownlee, Gerry","8,323","1,015","10,860","7,633",                          -,"27,831","10,849"
,"Brown, Simeon","8,323",182,"7,422","5,957",                          -,"21,884",                                       -
,"Collins, Judith","8,323",360,"6,168","9,799",                          -,"24,650",                                       -
,"Dean, Jacqui","8,323","1,627","6,368","15,409",                          -,"31,728",                                       -
,"Doocey, Matt","8,323",                               -,"5,254","5,361",                          -,"18,938",                                       -
,"Dowie, Sarah","8,323",359,"5,268","4,130",                          -,"18,081",                                       -
,"Falloon, Andrew","8,323","1,221","5,901","9,690",                          -,"25,135",                                       -
,"Finlayson, Chris",                                -,542,"4,167","4,229",                          -,"8,937",                                       -
,"Goldsmith, Paul","8,323",                               -,"6,658","2,889",                          -,"17,871",                                       -
,"Guy, Nathan","8,323",982,"4,825","6,242",                          -,"20,372",                                       -
,"Hayes, Joanne","8,323","1,647","7,786","5,719",                          -,"23,476",                                       -
,"Hipango, Harete","5,483","3,105","4,517","4,644",                          -,"17,748",                                       -
,"Hudson, Brett",                                -,"1,326","3,609","3,742",                          -,"8,677",                                       -
,"Kaye, Nikki","8,323",299,"11,070","5,139",                          -,"24,831",                                       -
