Members Expense Disclosure -  April - June 2012,,,,,,,,,,,,,,,,
"The expenses shown in the attached table were paid by the Parliamentary Service (air, surface travel, Wellington accommodation and non-Wellington accommodation) and the Office of the Clerk (inter-parliamentary travel) between 1 April 2012 and 30 June 2012.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,,,,,,,,,
,,Wellington,Non Wellington,Air,Surface,,,,,,,,,,,
Act, Banks John , - , - ," 1,179 ", - ," 1,179 ", -   ,,,,,,,,,
Act Total,, - , - ," 1,179 ", - ," 1,179 ", -   ,,,,,,,,,
Green, Browning Steffan ," 4,430 "," 2,835 "," 8,423 "," 6,406 "," 22,093 ", -   ,,,,,,,,,
, Clendon David ," 4,522 ", 830 ," 9,149 "," 3,710 "," 18,210 ", -   ,,,,,,,,,
, Delahunty Catherine ," 4,590 ", 951 ," 6,505 "," 6,806 "," 18,853 ", -   ,,,,,,,,,
, Genter Julie-Anne ," 3,861 ", 569 ," 6,664 "," 1,741 "," 12,835 ", -   ,,,,,,,,,
, Graham Kennedy ," 4,054 "," 2,129 "," 17,425 "," 4,073 "," 27,681 ", -   ,,,,,,,,,
, Hague Kevin ," 4,174 "," 1,546 "," 9,987 "," 4,779 "," 20,486 ", -   ,,,,,,,,,
, Hughes Gareth , - ," 1,507 "," 14,509 "," 4,437 "," 20,454 ", -   ,,,,,,,,,
, Logie Jan , - ," 2,044 "," 8,207 "," 3,795 "," 14,046 "," 14,149 ",,,,,,,,,
, Mathers Mojo ," 4,174 ", 417 ," 16,865 "," 4,360 "," 25,817 ", -   ,,,,,,,,,
, Norman Russel , - ," 1,308 "," 6,674 "," 3,036 "," 11,018 ", -   ,,,,,,,,,
, Roche Denise ," 5,322 "," 1,125 "," 9,243 "," 5,260 "," 20,950 ", -   ,,,,,,,,,
, Sage Eugenie ," 2,859 "," 1,399 "," 9,201 "," 5,036 "," 18,494 ", -   ,,,,,,,,,
, Turei Metiria ," 3,809 "," 1,007 "," 19,837 "," 4,386 "," 29,039 ", -   ,,,,,,,,,
, Walker Holly , - , 748 ," 4,358 "," 1,751 "," 6,857 ", -   ,,,,,,,,,
Green Total,," 41,793 "," 18,416 "," 147,048 "," 59,578 "," 266,835 "," 14,149 ",,,,,,,,,
Labour, Ardern Jacinda ," 3,391 ", 130 ," 8,531 "," 4,622 "," 16,675 ", -   ,,,,,,,,,
, Chauvel Charles , - ," 1,583 "," 7,842 "," 4,414 "," 13,838 ", -   ,,,,,,,,,
, Clark David ," 1,670 ", 259 ," 16,604 "," 4,620 "," 23,153 ", -   ,,,,,,,,,
, Cosgrove Clayton ," 4,803 "," 1,614 "," 16,884 "," 9,603 "," 32,904 ", -   ,,,,,,,,,
, Cunliffe David ," 5,397 ", 696 ," 7,580 "," 7,332 "," 21,004 ", -   ,,,,,,,,,
, Curran Clare ," 3,391 "," 1,618 "," 12,600 "," 9,462 "," 27,071 ", -   ,,,,,,,,,
, Dalziel Lianne ," 5,217 ", 626 ," 22,604 "," 4,214 "," 32,662 ", -   ,,,,,,,,,
, Dyson Ruth ," 4,070 ", 660 ," 7,089 "," 5,245 "," 17,064 ", -   ,,,,,,,,,
, Faafoi Kris , - , 365 ," 3,227 "," 10,891 "," 14,483 ", -   ,,,,,,,,,
, Fenton Darien ," 4,591 ", 139 ," 7,431 "," 6,542 "," 18,704 ", -   ,,,,,,,,,
, Goff Phil ," 3,130 ", - ," 14,664 "," 8,079 "," 25,873 ", -   ,,,,,,,,,
, Hipkins Chris , 157 , 706 ," 2,076 "," 5,830 "," 8,769 ", -   ,,,,,,,,,
, Horomia Parekura ," 3,548 "," 2,107 "," 8,964 "," 4,305 "," 18,924 ", -   ,,,,,,,,,
, Huo Raymond ," 2,783 ", 135 ," 4,568 "," 4,638 "," 12,123 ", -   ,,,,,,,,,
, Jones Shane , - , 112 ," 11,931 "," 5,221 "," 17,264 ", -   ,,,,,,,,,
, King Annette , - , 134 ," 4,890 "," 3,633 "," 8,657 ", -   ,,,,,,,,,
, Lees-Galloway Iain ," 2,583 ", 360 ," 2,764 "," 8,174 "," 13,881 ", -   ,,,,,,,,,
, Little Andrew , - , 134 ," 4,897 "," 3,684 "," 8,715 ", -   ,,,,,,,,,
, Mackey Moana ," 4,278 "," 2,144 "," 7,817 "," 6,328 "," 20,566 ", -   ,,,,,,,,,
, Mahuta Nanaia ," 9,478 "," 2,162 "," 11,296 "," 10,439 "," 33,374 ", -   ,,,,,,,,,
, Mallard Trevor , - , 290 ," 4,410 "," 6,326 "," 11,026 ",                     - ,,,,,,,,,
, Moroney Sue ," 4,803 ", 139 ," 5,858 "," 6,287 "," 17,087 ", -   ,,,,,,,,,
, O'Connor Damien ," 4,645 ", 450 ," 14,065 "," 15,532 "," 34,693 ", -   ,,,,,,,,,
, Parker David ," 4,645 ", - ," 14,096 "," 5,501 "," 24,242 ", -   ,,,,,,,,,
, Prasad Rajen ," 4,696 ", - ," 7,398 "," 8,272 "," 20,366 ", -   ,,,,,,,,,
