Members Expense Disclosure -  April - June 2013,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,
,,Wellington,Non Wellington,Air,Surface,,,
Act, Banks John , -   , -   , -   , -   , -   , -   ,
Act Total,, -   , -   , -   , -   , -   , -   ,
Green, Browning Steffan ," 4,800 "," 2,909 "," 7,314 "," 7,323 "," 22,346 ", -   ,
, Clendon David ," 4,630 "," 2,223 "," 12,604 "," 5,030 "," 24,486 ", -   ,
, Delahunty Catherine ," 4,696 ", 811 ," 5,503 "," 6,144 "," 17,154 ", -   ,
, Genter Julie-Anne ," 4,036 ", 600 ," 7,016 "," 2,397 "," 14,049 ", -   ,
, Graham Kennedy ," 3,543 "," 1,273 "," 12,982 "," 6,339 "," 24,137 ", -   ,
, Hague Kevin ," 4,583 ", 857 ," 9,890 "," 3,452 "," 18,781 ", -   ,
, Hughes Gareth , - ," 1,124 "," 8,747 "," 4,214 "," 14,085 ", -   ,
, Logie Jan , - ," 1,963 "," 6,960 "," 5,511 "," 14,434 ", -   ,
, Mathers Mojo ," 4,174 ", 781 ," 9,632 "," 3,725 "," 18,312 ", -   ,
, Norman Russel , - ," 1,377 "," 8,647 "," 2,959 "," 12,983 ", -   ,
, Roche Denise ," 3,235 ", 821 ," 7,880 "," 7,068 "," 19,004 ", -   ,
, Sage Eugenie ," 2,609 "," 1,151 "," 6,213 "," 2,195 "," 12,169 ", -   ,
, Turei Metiria ," 3,809 "," 1,954 "," 19,388 "," 7,702 "," 32,854 ", -   ,
, Walker Holly , - , 848 ," 3,553 "," 2,352 "," 6,753 ", -   ,
Green Total,," 40,113 "," 18,692 "," 126,330 "," 66,411 "," 251,546 ", -   ,
Independent, Horan Brendan ," 2,922 "," 1,743 "," 11,425 "," 9,811 "," 25,901 ", -   ,
Independent Total,," 2,922 "," 1,743 "," 11,425 "," 9,811 "," 25,901 ", -   ,
Labour, Ardern Jacinda ," 3,887 ", 249 ," 9,101 "," 6,616 "," 19,852 ", -   ,
, Beaumont Carol ," 3,074 ", 883 ," 15,631 "," 4,857 "," 24,446 ", -   ,
, Clark David ," 1,670 ", 139 ," 9,120 "," 2,707 "," 13,635 ", -   ,
, Cosgrove Clayton ," 4,803 "," 1,357 "," 14,074 "," 8,572 "," 28,806 ", -   ,
, Cunliffe David ," 6,000 ", 139 ," 8,538 "," 6,593 "," 21,270 ", -   ,
, Curran Clare ," 3,391 ", 687 ," 8,971 "," 4,829 "," 17,878 ", -   ,
, Dalziel Lianne ," 5,217 ", - ," 9,476 "," 2,816 "," 17,510 ", -   ,
, Dyson Ruth ," 4,070 ", 412 ," 10,998 "," 6,170 "," 21,650 ", -   ,
, Faafoi Kris , - , 924 ," 4,872 "," 9,929 "," 15,725 ","4,344",
, Fenton Darien ," 3,200 ", 765 ," 7,884 "," 6,765 "," 18,614 ", -   ,
, Goff Phil ," 3,130 ", 243 ," 8,361 "," 10,659 "," 22,392 ", -   ,
, Hipkins Chris , - ," 1,403 "," 5,597 "," 10,105 "," 17,106 ","12,471",
, Horomia Parekura ," 1,394 ", 374 , 315 , 356 ," 2,439 ", -   ,
, Huo Raymond ," 2,783 ", 113 ," 3,872 "," 6,009 "," 12,776 ", -   ,
, Jones Shane ," 3,061 ", 339 ," 13,430 "," 4,545 "," 21,375 ", -   ,
, King Annette , - , 393 ," 6,362 "," 5,790 "," 12,545 ", -   ,
, Lees-Galloway Iain ," 3,637 "," 1,059 "," 3,689 "," 10,276 "," 18,661 ", -   ,
, Little Andrew , - ," 1,272 "," 10,163 "," 5,279 "," 16,714 ", -   ,
, Mackey Moana ," 4,278 "," 1,980 "," 12,045 "," 5,044 "," 23,348 ", -   ,
, Mahuta Nanaia ," 6,957 "," 2,249 "," 10,184 "," 8,089 "," 27,479 ", -   ,
, Mallard Trevor , - , 245 ," 5,514 "," 8,977 "," 14,736 ", -   ,
, Moroney Sue ," 4,803 ", 629 ," 9,541 "," 5,922 "," 20,895 ", -   ,
, O'Connor Damien ," 4,800 ", 411 ," 14,577 "," 10,906 "," 30,694 ", -   ,
, Parker David ," 4,800 ", - ," 17,197 "," 6,692 "," 28,689 ", -   ,
, Prasad Rajen ," 5,000 ", - ," 7,373 "," 9,878 "," 22,250 ", -   ,
, Robertson Grant , - ," 1,221 "," 7,921 ", 944 ," 10,086 ", -   ,
, Robertson Ross ," 2,609 ", - ," 6,496 "," 11,092 "," 20,196 ", -   ,
, Shearer David ," 4,035 ", - ," 12,815 "," 9,743 "," 26,592 ", -   ,
, Sio Su'a William ," 3,757 ", 991 ," 8,855 "," 9,285 "," 22,887 ", -   ,
, Street Maryan , - , 903 ," 13,600 "," 3,893 "," 18,396 ", -   ,
, Tirikatene Rino , - ," 1,938 "," 10,642 "," 6,456 "," 19,037 ", -   ,
, Twyford Phil ," 2,643 ", 392 ," 8,210 "," 7,806 "," 19,052 ", -   ,
, Wall Louisa ," 4,816 ", 838 ," 11,986 "," 7,558 "," 25,197 ", -   ,
, Woods Megan ," 5,214 ", 422 ," 10,128 "," 7,149 "," 22,914 ", -   ,
Labour Total,," 103,027 "," 22,971 "," 317,538 "," 232,307 "," 675,843 ","16,815",
Mana, Harawira Hone ," 2,943 "," 5,264 "," 23,881 "," 13,036 "," 45,124 ", -   ,
Mana Total,," 2,943 "," 5,264 "," 23,881 "," 13,036 "," 45,124 ", -   ,
Maori, Flavell Te Ururoa ," 4,076 "," 2,972 "," 16,965 "," 13,100 "," 37,112 ", -   ,
, Sharples Pita , - , - ," 1,954 ", - ," 1,954 ", -   ,
, Turia Tariana , - , - ," 1,423 ", - ," 1,423 ", -   ,
Maori Total,," 4,076 "," 2,972 "," 20,341 "," 13,100 "," 40,489 ", -   ,
National, Adams Amy , - , - ," 1,186 ", - ," 1,186 ", -   ,
, Ardern Shane ," 5,217 ", 721 ," 6,576 "," 11,748 "," 24,262 ", -   ,
, Auchinvole Chris ," 4,696 "," 4,396 "," 10,292 "," 16,144 "," 35,528 ", -   ,
, Bakshi Kanwaljit Singh ," 4,383 ", 273 ," 4,354 "," 7,268 "," 16,278 ", -   ,
, Barry Maggie ," 2,609 ", 278 ," 5,631 "," 3,428 "," 11,946 ", -   ,
, Bennett David ," 3,200 ", 556 ," 5,539 "," 10,267 "," 19,562 ", -   ,
, Bennett Paula , - , - , 336 , - , 336 , -   ,
, Blue Jackie ," 2,047 ", - ," 4,726 "," 3,790 "," 10,562 ", -   ,
, Borrows Chester , - , - ," 1,753 "," 3,544 "," 5,296 ", -   ,
, Bridges Simon , - , - ," 1,111 ", - ," 1,111 ", -   ,
, Brownlee Gerry , - , - ," 2,235 ", - ," 2,235 ", -   ,
, Calder Cam ," 4,664 ", 78 ," 6,151 "," 9,582 "," 20,476 ", -   ,
, Carter David ," 14,281 ", - ," 8,795 ", 100 ," 23,176 ", -   ,
, Coleman Jonathan , - , - , 826 , - , 826 , -   ,
