Members Expense Disclosure - 1 April to 30 June 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,,,,,,,,,,,,,,,,,,,,,,,
,,Wellington,Non Wellington,Air,Surface,,,,,,,,,,,,,,,,,,,,,,,,,
Act, Banks John ," 7,000 ", -   ," 2,252 "," 1,494 "," 10,746 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
Act Total,," 7,000 ", -   ," 2,252 "," 1,494 "," 10,746 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
Green, Browning Steffan ," 4,800 "," 4,305 "," 12,563 "," 8,028 "," 29,696 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Clendon David ," 5,839 ", 960 ," 14,965 "," 6,999 "," 28,764 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Delahunty Catherine ," 4,696 "," 1,371 "," 9,390 "," 5,594 "," 21,051 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Genter Julie-Anne ," 4,185 ", 785 ," 7,028 "," 1,757 "," 13,754 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Graham Kennedy ," 5,091 ", 443 ," 10,133 "," 5,698 "," 21,365 ",855 ,,,,,,,,,,,,,,,,,,,,,,,
, Hague Kevin ," 3,088 "," 1,792 "," 17,609 "," 4,422 "," 26,911 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Hughes Gareth , - ," 1,338 "," 6,307 "," 6,270 "," 13,916 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Logie Jan , - ," 2,185 "," 6,945 "," 5,103 "," 14,234 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Mathers Mojo ," 4,258 ", 842 ," 12,170 "," 3,608 "," 20,878 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Norman Russel , - , 530 ," 7,897 "," 3,524 "," 11,951 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Roche Denise ," 1,896 "," 1,255 "," 10,048 "," 6,865 "," 20,064 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Sage Eugenie ," 2,765 ", 217 ," 7,930 "," 5,070 "," 15,983 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Turei Metiria ," 4,852 "," 1,677 "," 13,144 "," 5,324 "," 24,997 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Walker Holly , - , 522 , 671 ," 1,377 "," 2,570 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
Green Total,," 41,470 "," 18,222 "," 136,799 "," 69,642 "," 266,133 ",855 ,,,,,,,,,,,,,,,,,,,,,,,
Independent, Horan Brendan ," 1,795 "," 1,156 "," 10,011 "," 9,240 "," 22,202 ", - ,,,,,,,,,,,,,,,,,,,,,,,
Independent Total,," 1,795 "," 1,156 "," 10,011 "," 9,240 "," 22,202 ", - ,,,,,,,,,,,,,,,,,,,,,,,
Labour, Ardern Jacinda ," 5,068 ", 643 ," 10,404 "," 8,184 "," 24,299 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Beaumont Carol ," 4,151 ", -   ," 8,998 "," 4,869 "," 18,018 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Clark David ," 1,670 ", 130 ," 7,909 "," 3,291 "," 13,001 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Cosgrove Clayton ," 2,950 "," 1,015 "," 11,331 "," 11,668 "," 26,965 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Cunliffe David ," 5,675 ", -   ," 14,848 "," 3,631 "," 24,154 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Curran Clare ," 5,520 ", 670 ," 9,587 "," 7,335 "," 23,111 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Dalziel Lianne , -   , -   , -   , -   , - , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Davis Kelvin , 966 , 801 ," 6,130 "," 2,936 "," 10,833 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Dyson Ruth ," 4,070 ", 360 ," 11,588 "," 8,112 "," 24,130 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Faafoi Kris , -   , 743 ," 3,485 "," 12,507 "," 16,736 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Fenton Darien ," 3,478 ", 265 ," 8,906 "," 6,437 "," 19,086 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Goff Phil ," 3,130 ", -   ," 6,702 "," 8,465 "," 18,297 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
