Members Expense Disclosure - April to June 2015,,,,,,,,,
,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter Parliamentary - Office of the Clerk,,
,,Wellington,Non Wellington,Air,Surface,,,,
,,,,,,,,,
Act, Seymour David , -   , -   , -   ,-0 ,-0 , -   ,,
Act Total,, -   , -   , -   ,-0 ,-0 , -   ,,
,,,,,,,,,
Green, Browning Steffan ," 7,410 "," 2,509 "," 7,881 "," 4,864 "," 22,664 ", - ,,
, Clendon David ," 7,410 "," 1,234 "," 6,301 "," 3,965 "," 18,911 ", - ,,
, Delahunty Catherine ," 5,187 ", 611 ," 5,732 "," 4,988 "," 16,518 ", - ,,
, Genter Julie-Anne ," 4,446 ", 613 ," 5,480 "," 1,383 "," 11,922 ", - ,,
, Graham Kennedy ," 7,410 ", 95 ," 7,756 "," 3,165 "," 18,425 "," 14,246 ",,
, Hague Kevin ," 7,410 ", 916 ," 12,932 "," 1,826 "," 23,085 ", - ,,
, Hughes Gareth , - , 405 ," 7,140 "," 3,786 "," 11,331 ", - ,,
, Logie Jan , - ," 2,150 "," 5,623 "," 6,110 "," 13,883 ", - ,,
, Mathers Mojo ," 7,410 "," 1,424 "," 8,969 "," 5,546 "," 23,350 ", - ,,
, Norman Russel , - , 556 ," 5,380 "," 2,531 "," 8,468 ", - ,,
, Roche Denise ," 5,187 "," 2,808 "," 10,317 "," 8,761 "," 27,073 ", - ,,
, Sage Eugenie ," 5,187 ", 348 ," 6,762 "," 2,592 "," 14,889 ", - ,,
, Shaw James , - ," 1,078 "," 8,996 "," 3,640 "," 13,714 ", - ,,
, Turei Metiria ," 7,410 "," 1,571 "," 6,899 "," 3,857 "," 19,738 ", - ,,
Green Total,," 64,470 "," 16,318 "," 106,168 "," 57,015 "," 243,971 "," 14,246 ",,
,,,,,,,,,
Labour, Ardern Jacinda ," 7,410 ", -   ," 7,829 "," 3,464 "," 18,704 ", - ,,
, Clark David ," 5,187 ", 841 ," 8,626 "," 5,981 "," 20,635 ", - ,,
, Cosgrove Clayton ," 1,157 ", 308 ," 5,556 "," 5,524 "," 12,545 "," 3,172 ",,
, Cunliffe David ," 7,410 ", 670 ," 19,960 "," 7,221 "," 35,261 ", - ,,
, Curran Clare ," 7,410 ", 220 ," 5,030 "," 6,158 "," 18,818 ", - ,,
, Davis Kelvin ," 7,410 "," 2,445 "," 10,601 "," 9,449 "," 29,906 ", - ,,
, Dyson Ruth ," 7,410 ", 12 ," 6,924 "," 2,412 "," 16,757 ", - ,,
, Faafoi Kris , -   , 697 ," 7,882 "," 10,795 "," 19,374 ", - ,,
, Goff Phil ," 2,148 ", 255 ," 13,770 "," 7,732 "," 23,905 "," 2,498 ",,
, Henare Peeni ," 3,850 ", 243 ," 9,011 "," 7,659 "," 20,763 ", - ,,
, Hipkins Chris , -   ," 1,063 "," 4,583 "," 7,275 "," 12,922 ", - ,,
, King Annette , -   , 951 ," 17,598 "," 4,389 "," 22,939 "," 9,889 ",,
, Lees-Galloway Iain ," 5,187 ", 862 ," 4,594 "," 5,434 "," 16,078 ", - ,,
, Little Andrew , -   ," 4,216 "," 13,613 "," 12,399 "," 30,228 ", - ,,
, Mahuta Nanaia ," 7,410 "," 2,137 "," 9,002 "," 8,001 "," 26,549 ", - ,,
, Mallard Trevor , -   , 801 ," 6,562 "," 11,167 "," 18,530 ", - ,,
, Moroney Sue ," 7,410 ", 584 ," 7,608 "," 5,874 "," 21,477 ", - ,,
, Nash Stuart ," 7,410 ", 825 ," 9,129 "," 8,206 "," 25,571 ", - ,,
, O'Connor Damien ," 4,402 ", 796 ," 10,589 "," 12,066 "," 27,853 ", - ,,
, Parker David ," 4,282 ", 61 ," 8,372 "," 6,420 "," 19,134 ", - ,,
, Robertson Grant , -   ," 2,175 "," 6,377 "," 3,275 "," 11,827 ", - ,,
, Rurawhe Adrian ," 5,770 "," 1,864 "," 3,169 "," 6,857 "," 17,660 "," 16,355 ",,
, Sepuloni Carmel ," 5,187 ", 665 ," 8,979 "," 4,386 "," 19,217 "," 6,874 ",,
, Shearer David ," 3,139 ", -   ," 4,897 "," 5,562 "," 13,597 ", - ,,
, Salesa Jenny ," 4,059 ", 246 ," 10,179 "," 6,311 "," 20,795 ", - ,,
, Sio Su'a William ," 3,139 ", 139 ," 6,001 "," 6,104 "," 15,383 ", - ,,
, Tirikatene Rino ," 4,446 "," 1,654 "," 8,664 "," 5,461 "," 20,226 ", - ,,
, Twyford Phil ," 5,122 ", 758 ," 7,983 "," 10,148 "," 24,011 ", - ,,
, Wall Louisa ," 7,410 ", 362 ," 5,917 "," 7,323 "," 21,012 "," 2,559 ",,
, Whaitiri Meka ," 7,410 "," 2,686 "," 9,397 "," 8,256 "," 27,750 ", - ,,
, Williams Poto ," 7,410 ", 308 ," 7,451 "," 3,685 "," 18,853 "," 7,876 ",,
, Woods Megan ," 7,410 "," 1,058 "," 7,490 "," 4,022 "," 19,980 ", - ,,
Labour Total,," 145,999 "," 29,902 "," 273,344 "," 219,015 "," 668,260 "," 49,233 ",,
,,,,,,,,,
Maori, Flavell Te Ururoa , - , - ," 1,828 ", - ," 1,828 ", - ,,
, Fox Marama ," 5,187 "," 4,224 "," 14,052 "," 13,650 "," 37,113 ", - ,,
Maori Total,," 5,187 "," 4,224 "," 15,880 "," 13,650 "," 38,941 ", - ,,
,,,,,,,,,
National, Adams Amy , - , - , 372 , - , 372 , - ,,
, Bakshi Kanwaljit Singh ," 7,410 ", 113 ," 8,605 "," 10,672 "," 26,799 ", - ,,
, Barclay Todd ," 7,410 "," 3,054 "," 8,419 "," 14,162 "," 33,045 ", - ,,
, Barry Maggie , - , - ," 1,294 ", - ," 1,294 ", - ,,
, Bayly Andrew ," 7,410 ", - ," 4,698 "," 7,360 "," 19,468 ", - ,,
, Bennett David ," 3,437 ", 88 ," 4,396 "," 8,641 "," 16,562 "," 2,579 ",,
, Bennett Paula , - , - , 275 , - , 275 , - ,,
, Bishop Chris , - ," 1,210 "," 3,379 "," 2,939 "," 7,529 ", - ,,
, Borrows Chester ," 10,851 ", 293 ," 4,544 "," 7,380 "," 23,067 "," 16,488 ",,
, Bridges Simon , - , - ," 3,083 ", - ," 3,083 ", - ,,
, Brownlee Gerry , - , - ," 1,403 ", - ," 1,403 ", - ,,
