Members' expense disclosure from 1 January 2012 to 31 March 2012,,,,,,,,,
"The expenses shown in the attached table were paid by the Parliamentary Service (air, surface travel, Wellington accommodation and non-Wellington accommodation) and the Office of the Clerk (inter-parliamentary travel) between  1 January 2012 to 31 March 2012.",,,,,,,,,
,,,,,,,,,
Party,Member,Accommodation,,Travel,,,Inter-Parliamentary Office of the Clerk,,
,,Wellington,Non Wellington,Air,Surface,Grand Total,,,
Act, Banks John , -   , -   , 633 ," 1,001 "," 1,634 ", -   ,,
Act Total,, -   , -   , 633 ," 1,001 "," 1,634 ", -   ,,
Green, Browning Steffan ," 4,487 ", 217 ," 6,194 "," 1,826 "," 12,724 ", -   ,,
, Clendon David ," 5,796 ", 779 ," 6,852 "," 3,352 "," 16,780 ", -   ,,
, Delahunty Catherine ," 5,673 ", 293 ," 3,619 "," 2,133 "," 11,719 ", -   ,,
, Genter Julie-Anne ," 4,439 "," 1,090 "," 4,137 "," 1,661 "," 11,327 ", -   ,,
, Graham Kennedy ," 5,018 ", 78 ," 6,872 "," 1,995 "," 13,964 ", -   ,,
, Hague Kevin ," 5,904 "," 1,398 "," 11,607 "," 3,020 "," 21,929 ", -   ,,
, Hughes Gareth , -   , 887 ," 5,277 "," 1,590 "," 7,754 ", -   ,,
, Logie Jan , -   , 852 ," 3,744 "," 1,827 "," 6,424 ", -   ,,
, Mathers Mojo ," 5,222 ", -   ," 12,039 "," 3,329 "," 20,590 ", -   ,,
, Norman Russel , -   ," 1,972 "," 3,290 "," 1,268 "," 6,531 ", -   ,,
, Roche Denise ," 4,666 ", 452 ," 12,713 "," 6,291 "," 24,123 ", -   ,,
, Sage Eugenie ," 4,477 ", 264 ," 6,017 "," 1,208 "," 11,966 ", -   ,,
, Turei Metiria ," 4,387 "," 1,141 "," 18,527 "," 3,948 "," 28,003 ", -   ,,
, Walker Holly , -   , 542 ," 4,857 "," 2,597 "," 7,996 ", -   ,,
Green Total,," 50,069 "," 9,966 "," 105,746 "," 36,047 "," 201,828 ", -   ,,
Labour, Ardern Jacinda ," 5,693 ", 398 ," 4,516 "," 3,695 "," 14,302 ", -   ,,
, Chauvel Charles , -   ," 2,130 "," 4,916 "," 3,791 "," 10,837 ", -   ,,
, Clark David ," 1,425 ", 339 ," 11,646 "," 2,906 "," 16,316 ", -   ,,
, Cosgrove Clayton ," 6,477 ", 613 ," 9,586 "," 4,304 "," 20,981 ", -   ,,
, Cunliffe David ," 6,000 ", 537 ," 5,581 "," 2,150 "," 14,268 ", -   ,,
, Curran Clare ," 6,458 ", 685 ," 6,431 "," 2,431 "," 16,006 ", -   ,,
, Dalziel Lianne ," 5,411 ", 769 ," 8,570 "," 2,812 "," 17,561 ", -   ,,
, Dyson Ruth ," 2,137 ", -   ," 10,343 "," 1,303 "," 13,782 ", -   ,,
, Faafoi Kris , -   , 259 ," 3,857 "," 7,676 "," 11,792 ", -   ,,
, Fenton Darien ," 2,226 ", 524 ," 5,744 "," 7,603 "," 16,098 ", -   ,,
, Goff Phil ," 5,832 ", 346 ," 8,288 "," 7,192 "," 21,658 ", -   ,,
, Hipkins Chris , -   , 641 ," 2,194 "," 5,114 "," 7,949 ", -   ,,
, Horomia Parekura ," 4,790 "," 2,025 "," 6,371 "," 2,026 "," 15,212 ", -   ,,
, Huo Raymond ," 1,809 ", 278 ," 3,677 "," 5,314 "," 11,077 ", -   ,,
, Jones Shane ," 7,617 ", 130 ," 8,411 "," 6,447 "," 22,604 ", -   ,,
, King Annette , -   , 748 ," 5,583 "," 2,681 "," 9,012 ", -   ,,
, Lees-Galloway Iain ," 3,916 ", 401 ," 2,027 ", 925 ," 7,269 ", -   ,,
, Little Andrew , -   , 259 ," 4,077 "," 1,524 "," 5,861 ", -   ,,
, Mackey Moana ," 3,558 ", 413 ," 9,322 "," 2,829 "," 16,122 ", -   ,,
, Mahuta Nanaia ," 5,535 "," 1,299 "," 11,420 "," 5,778 "," 24,032 ", -   ,,
, Mallard Trevor , -   ," 1,051 "," 2,712 "," 5,637 "," 9,400 "," 14,894 ",,
, Moroney Sue ," 5,804 ", 503 ," 3,256 "," 1,038 "," 10,601 ", -   ,,
, O'Connor Damien ," 4,318 ", 839 ," 11,884 "," 11,504 "," 28,545 ", -   ,,
, Parker David ," 6,545 ", 251 ," 6,320 "," 2,950 "," 16,066 ", -   ,,
, Prasad Rajen ," 7,505 ", 371 ," 5,844 "," 4,904 "," 18,624 ", -   ,,
, Robertson Grant , -   , 406 ," 8,897 "," 1,420 "," 10,724 ", -   ,,
, Robertson Ross ," 3,609 ", 126 ," 5,260 "," 6,269 "," 15,263 ", -   ,,
, Shearer David ," 4,499 ", 503 ," 10,425 "," 10,295 "," 25,722 ", -   ,,
, Sio Su'a William , 974 , 130 ," 3,805 "," 4,832 "," 9,741 ", -   ,,
, Street Maryan ," 3,829 ", 242 ," 6,932 "," 2,371 "," 13,374 ", -   ,,
, Tirikatene Rino , -   , 369 ," 9,032 "," 1,109 "," 10,510 ", -   ,,
, Twyford Phil ," 1,391 ", 259 ," 10,010 "," 5,429 "," 17,089 ", -   ,,
, Wall Louisa ," 6,420 ", 364 ," 6,948 "," 3,983 "," 17,715 ", -   ,,
, Woods Megan ," 2,176 ", 404 ," 8,559 "," 2,561 "," 13,701 ", -   ,,
Labour Total,," 115,953 "," 18,613 "," 232,442 "," 142,803 "," 509,811 "," 14,894 ",,
Mana, Harawira Hone ," 2,647 "," 3,226 "," 24,497 "," 9,714 "," 40,084 ", -   ,,
