Members Expense Disclosure -  January - March 2013,,,,,,,,,,
,,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,,,
,,Wellington,Non Wellington,Air,Surface,,,,,
Act, Banks John , -   , -   , -   , -   , -   , -   ,,,
Act Total,, -   , -   , -   , -   , -   , -   ,,,
Green, Browning Steffan ," 5,600 ", 507 ," 4,986 "," 2,546 "," 13,638 ", -   ,,,
, Clendon David ," 5,357 "," 1,218 "," 8,677 "," 3,239 "," 18,490 ", -   ,,,
, Delahunty Catherine ," 5,478 ", 846 ," 5,605 "," 2,632 "," 14,561 ", -   ,,,
, Genter Julie Anne ," 4,586 ", 630 ," 5,718 "," 1,357 "," 12,290 ", -   ,,,
, Graham Kennedy ," 4,765 ", 968 ," 7,473 "," 3,604 "," 16,810 ", -   ,,,
, Hague Kevin ," 5,083 "," 1,337 "," 10,785 "," 4,753 "," 21,958 ", -   ,,,
, Hughes Gareth , - ," 1,466 "," 6,372 "," 3,346 "," 11,184 ", -   ,,,
, Logie Jan , 135 ," 1,468 "," 5,424 "," 1,549 "," 8,577 "," 10,241 ",,,
, Mathers Mojo ," 4,870 ", 848 ," 7,728 "," 2,748 "," 16,194 ", -   ,,,
, Norman Russel , - , 104 ," 4,877 "," 2,346 "," 7,327 ", -   ,,,
, Roche Denise ," 6,209 ", 742 ," 6,150 "," 4,563 "," 17,663 "," 9,835 ",,,
, Sage Eugenie ," 3,043 ", 489 ," 6,659 "," 1,978 "," 12,170 ", -   ,,,
, Turei Metiria ," 4,443 ", 497 ," 12,324 "," 3,849 "," 21,114 ", -   ,,,
, Walker Holly , - , 391 ," 4,408 "," 3,336 "," 8,136 ", -   ,,,
Green Total,," 49,568 "," 11,511 "," 97,188 "," 41,846 "," 200,112 "," 20,076 ",,,
Independent, Horan Brendan ," 1,113 ", 426 ," 6,583 "," 5,744 "," 13,865 ", -   ,,,
Independent Total,," 1,113 ", 426 ," 6,583 "," 5,744 "," 13,865 ", -   ,,,
Labour, Ardern Jacinda ," 3,957 ", 139 ," 6,997 "," 2,139 "," 13,231 ", -   ,,,
, Beaumont Carol , 217 , - ," 1,672 ", 303 ," 2,192 ", -   ,,,
, Chauvel Charles , - , 761 ," 4,102 "," 1,958 "," 6,821 ", -   ,,,
, Clark David ," 1,948 ", - ," 12,144 "," 2,959 "," 17,051 ", -   ,,,
, Cosgrove Clayton ," 5,603 ", - ," 12,091 "," 5,962 "," 23,657 ", -   ,,,
, Cunliffe David ," 6,000 ", 217 ," 7,208 "," 3,279 "," 16,705 ", -   ,,,
, Curran Clare ," 3,957 ", 650 ," 6,045 "," 3,495 "," 14,147 ", -   ,,,
, Dalziel Lianne ," 5,217 ", 591 ," 6,963 "," 3,398 "," 16,170 ", -   ,,,
, Dyson Ruth ," 4,748 ", 97 ," 9,155 "," 2,391 "," 16,392 ", -   ,,,
, Faafoi Kris , - , 278 ," 3,450 "," 7,445 "," 11,173 ", -   ,,,
, Fenton Darien ," 2,087 ", - ," 3,749 "," 2,492 "," 8,328 ", -   ,,,
, Goff Phil ," 3,652 ", - ," 4,358 "," 4,338 "," 12,348 ", -   ,,,
, Hipkins Chris , - , 513 ," 4,078 "," 1,685 "," 6,276 ", -   ,,,
, Horomia Parekura ," 4,139 ", 854 ," 3,674 "," 3,438 "," 12,104 ", -   ,,,
, Huo Raymond ," 2,087 ", - ," 5,774 "," 4,631 "," 12,491 ", -   ,,,
, Jones Shane ," 1,526 ", 383 ," 7,052 "," 3,662 "," 12,623 ", -   ,,,
, King Annette , - , 429 ," 4,630 "," 2,041 "," 7,100 ", -   ,,,
, Lees-Galloway Iain ," 3,013 ", 435 ," 1,845 ", 940 ," 6,233 "," 6,436 ",,,
, Little Andrew , - , 157 ," 5,722 "," 3,637 "," 9,515 ", -   ,,,
, Mackey Moana ," 4,991 "," 3,736 "," 5,871 "," 4,820 "," 19,418 ", -   ,,,
, Mahuta Nanaia ," 5,217 ", 807 ," 3,906 "," 3,227 "," 13,157 ", -   ,,,
, Mallard Trevor , - , 145 ," 2,695 "," 2,694 "," 5,534 ", -   ,,,
, Moroney Sue ," 5,603 ", - ," 5,824 "," 1,233 "," 12,660 ", -   ,,,
, O'Connor Damien ," 5,600 ", 604 ," 8,288 "," 5,293 "," 19,785 ", -   ,,,
, Parker David ," 5,600 ", 116 ," 7,192 "," 4,315 "," 17,223 ", -   ,,,
, Prasad Rajen ," 5,478 ", - ," 5,965 "," 4,597 "," 16,041 ", -   ,,,
, Robertson Grant , - , 513 ," 7,916 "," 1,099 "," 9,528 ", -   ,,,
, Robertson Ross ," 3,043 ", - ," 5,074 "," 5,877 "," 13,995 ", -   ,,,
, Shearer David ," 2,830 ", - ," 9,832 "," 8,519 "," 21,182 ", -   ,,,
, Sio Su'a William ," 2,365 ", 135 ," 6,284 "," 6,790 "," 15,574 ", -   ,,,
, Street Maryan , - , 313 ," 7,073 "," 1,918 "," 9,304 ", -   ,,,
, Tirikatene Rino , - ," 2,144 "," 9,629 "," 5,063 "," 16,836 ", -   ,,,
, Twyford Phil ," 1,670 ", 296 ," 7,568 "," 3,519 "," 13,052 ", -   ,,,
, Wall Louisa ," 5,619 ", - ," 4,106 "," 2,553 "," 12,278 "," 11,538 ",,,
, Woods Megan ," 5,214 ", 274 ," 6,571 "," 2,970 "," 15,029 ", -   ,,,
Labour Total,," 101,383 "," 14,587 "," 214,504 "," 124,679 "," 455,153 "," 17,974 ",,,
Mana, Harawira Hone ," 2,229 "," 3,390 "," 14,394 "," 11,796 "," 31,809 ", -   ,,,
Mana Total,," 2,229 "," 3,390 "," 14,394 "," 11,796 "," 31,809 ", -   ,,,
Maori, Flavell Te Ururoa ," 5,478 "," 1,073 "," 11,571 "," 7,480 "," 25,602 ", -   ,,,
, Sharples Pita , - , - ," 2,361 ", - ," 2,361 ", -   ,,,
, Turia Tariana , - , - , 540 , 126 , 666 , -   ,,,
Maori Total,," 5,478 "," 1,073 "," 14,472 "," 7,606 "," 28,630 ",,,,
National,  Adams Amy  , - , - ," 1,407 ", - ," 1,407 ", -   ,,,
,  Ardern Shane  ," 5,217 ", 117 ," 4,376 "," 6,306 "," 16,016 ", -   ,,,
,  Auchinvole Chris  ," 5,478 ", - ," 11,282 "," 2,824 "," 19,584 ", -   ,,,
,  Bakshi Kanwaljit Singh  ," 5,087 ", 343 ," 7,933 "," 11,609 "," 24,973 ", -   ,,,
, Barry Maggie ," 3,043 ", - ," 8,081 "," 2,782 "," 13,907 ", -   ,,,
,  Bennett David  ," 1,809 ", - ," 3,687 "," 1,595 "," 7,090 ", -   ,,,
,  Bennett Paula  , - , - , 668 , - , 668 , -   ,,,
,  Blue Jackie  ," 5,443 ", 113 ," 5,661 "," 3,181 "," 14,399 "," 1,625 ",,,
,  Borrows Chester  , - , - , 389 , - , 389 , -   ,,,
