Members Expense Disclosure - January to March 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,,,,,,,,,,,,,,,,,,,,,,,
,,Wellington,Non Wellington,Air,Surface,,,,,,,,,,,,,,,,,,,,,,,,,
Act, Banks John ," 4,000 ", -   ," 4,052 "," 1,924 "," 9,976 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
Act Total,," 4,000 ", -   ," 4,052 "," 1,924 "," 9,976 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
Green," Browning, Steffan "," 5,600 "," 1,681 "," 7,911 "," 5,805 "," 20,997 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Clendon David ," 5,139 ", 545 ," 9,045 "," 1,802 "," 16,530 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Delahunty Catherine ," 5,478 ", 538 ," 5,542 "," 2,441 "," 13,999 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Genter Julie-Anne ," 4,783 ", 242 ," 4,791 ", 627 ," 10,442 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Graham Kennedy ," 6,138 ", 315 ," 7,612 "," 2,829 "," 16,893 "," 10,350 ",,,,,,,,,,,,,,,,,,,,,,,
, Hague Kevin ," 5,946 ", 979 ," 10,863 "," 3,469 "," 21,256 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Hughes Gareth , - , 897 ," 6,842 "," 2,059 "," 9,798 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Logie Jan , - ," 1,118 "," 4,959 "," 4,945 "," 11,022 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Mathers Mojo ," 4,870 ", 539 ," 12,395 "," 4,268 "," 22,072 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Norman Russel , - , 679 ," 3,325 "," 2,254 "," 6,258 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Roche Denise ," 5,325 ", 368 ," 7,300 "," 5,550 "," 18,543 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Sage Eugenie ," 3,049 ", 957 ," 6,311 "," 1,835 "," 12,152 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Turei Metiria ," 5,895 ", 113 ," 9,812 "," 2,757 "," 18,577 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Walker Holly , - , - ," 1,798 ", 367 ," 2,165 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
Green Total,," 52,222 "," 8,970 "," 98,505 "," 41,007 "," 200,705 "," 10,350 ",,,,,,,,,,,,,,,,,,,,,,,
 Independent , Horan Brendan , 835 ," 1,163 "," 7,943 "," 8,153 "," 18,093 ", - ,,,,,,,,,,,,,,,,,,,,,,,
 Independent Total ,, 835 ," 1,163 "," 7,943 "," 8,153 "," 18,093 ",,,,,,,,,,,,,,,,,,,,,,,,
Labour, Ardern Jacinda ," 5,478 ", 124 ," 6,173 "," 2,609 "," 14,385 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Beaumont Carol ," 4,928 ", 242 ," 7,540 "," 4,150 "," 16,859 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Clark David ," 1,948 ", -   ," 7,454 "," 3,117 "," 12,518 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Cosgrove Clayton , 686 , 602 ," 6,452 "," 4,185 "," 11,925 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Cunliffe David ," 6,000 ", -   ," 8,493 "," 7,654 "," 22,147 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Curran Clare ," 5,147 ", 578 ," 6,385 "," 3,292 "," 15,402 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Dalziel Lianne , -   , -   , -   , -   , - , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Dyson Ruth ," 4,748 ", 157 ," 7,673 "," 9,635 "," 22,213 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Faafoi Kris , -   , 313 ," 3,956 "," 7,590 "," 11,859 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Fenton Darien ," 2,643 ", -   ," 5,411 "," 4,479 "," 12,534 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Goff Phil ," 3,652 ", -   ," 8,303 "," 5,907 "," 17,862 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Hipkins Chris , -   ," 1,330 "," 5,604 "," 6,416 "," 13,350 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Huo Raymond ," 1,391 ", 417 ," 3,037 "," 5,588 "," 10,434 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
