Members Expense Disclosure -  July - September 2012,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,
,,Wellington,Non Wellington,Air,Surface,,,
Act, Banks John , -   , -   , 540 , -   , 540 ,,
Act Total,, -   , -   , 540 , -   , 540 ,,
Green, Browning Steffan ," 4,909 "," 1,709 "," 7,690 "," 4,946 "," 19,254 ",,
, Clendon David ," 6,151 "," 1,779 "," 10,625 "," 3,174 "," 21,729 ",,
, Delahunty Catherine ," 5,478 ", 861 ," 8,036 "," 4,635 "," 19,010 ",,
, Genter Julie-Anne ," 4,575 "," 1,033 "," 6,523 "," 1,343 "," 13,474 ",,
, Graham Kennedy ," 4,819 "," 1,801 "," 15,023 "," 2,733 "," 24,375 ",,
, Hague Kevin ," 4,914 ", 952 ," 15,367 "," 5,081 "," 26,314 ",,
, Hughes Gareth , -   ," 1,079 "," 5,667 "," 2,167 "," 8,913 ","16,465",
, Logie Jan , -   ," 1,845 "," 5,047 "," 3,584 "," 10,475 ",961,
, Mathers Mojo ," 4,870 ", 296 ," 14,542 "," 5,404 "," 25,111 ",,
, Norman Russel , -   ," 1,403 "," 6,752 "," 3,326 "," 11,481 ",,
, Roche Denise ," 6,209 "," 1,156 "," 9,030 "," 4,920 "," 21,315 ",,
, Sage Eugenie ," 3,043 ", 927 ," 8,128 "," 1,813 "," 13,911 ",,
, Turei Metiria ," 4,443 ", 470 ," 13,259 "," 2,889 "," 21,061 ",,
, Walker Holly , -   , 896 ," 5,892 "," 3,853 "," 10,642 ",,
Green Total,," 49,412 "," 16,205 "," 131,581 "," 49,867 "," 247,065 ","17,426",
Labour, Ardern Jacinda ," 3,957 ", 504 ," 7,954 "," 2,917 "," 15,332 ",,
, Chauvel Charles , -   ," 1,826 "," 9,101 "," 3,260 "," 14,187 ",,
, Clark David ," 1,948 ", 265 ," 10,273 "," 2,611 "," 15,097 ",,
, Cosgrove Clayton ," 5,603 "," 1,142 "," 13,157 "," 7,501 "," 27,404 ",,
, Cunliffe David ," 6,000 ", 126 ," 4,457 "," 2,071 "," 12,653 ",,
, Curran Clare ," 3,957 "," 1,251 "," 7,904 "," 4,699 "," 17,812 ",,
, Dalziel Lianne ," 5,217 ", 157 ," 8,370 "," 2,444 "," 16,189 ",,
, Dyson Ruth ," 4,748 ", 157 ," 11,697 "," 1,633 "," 18,234 ",,
, Faafoi Kris , -   ," 1,276 "," 7,431 "," 8,545 "," 17,252 ",,
, Fenton Darien ," 3,200 ", 378 ," 5,283 "," 2,862 "," 11,723 ","15,452",
, Goff Phil ," 3,652 ", -   ," 8,649 "," 7,525 "," 19,826 ",,
, Hipkins Chris , -   , 687 ," 3,913 "," 2,947 "," 7,547 ",,
, Horomia Parekura ," 4,139 "," 2,212 "," 11,790 "," 3,275 "," 21,416 ",,
, Huo Raymond ," 2,922 ", 530 ," 6,030 "," 7,883 "," 17,365 ",,
, Jones Shane ," 1,670 ", 961 ," 8,174 "," 2,218 "," 13,022 ",,
, King Annette , -   , 942 ," 7,181 "," 2,445 "," 10,568 ","2,472",
, Lees-Galloway Iain ," 3,013 ", 399 ," 4,077 "," 1,921 "," 9,410 ",,
, Little Andrew , -   , 659 ," 9,771 "," 3,831 "," 14,261 ",,
, Mackey Moana ," 4,991 "," 2,092 "," 9,956 "," 2,841 "," 19,881 ",,
, Mahuta Nanaia ," 3,478 "," 1,558 "," 11,870 "," 7,201 "," 24,108 ",,
, Mallard Trevor , -   , 139 ," 3,446 "," 2,248 "," 5,832 ",,
, Moroney Sue ," 5,603 ", 517 ," 8,079 "," 1,941 "," 16,140 ",,
, O'Connor Damien ," 5,600 ", 751 ," 17,482 "," 4,612 "," 28,445 ",,
, Parker David ," 5,600 ", 391 ," 17,185 "," 4,446 "," 27,623 ",,
, Prasad Rajen ," 5,522 ", 378 ," 6,097 "," 6,452 "," 18,449 ",,
, Robertson Grant , -   , 795 ," 6,663 "," 2,056 "," 9,514 ",,
, Robertson Ross ," 3,043 ", 251 ," 5,570 "," 7,808 "," 16,672 ",,
, Shearer David ," 2,504 ", 398 ," 12,797 "," 9,140 "," 24,840 ",,
, Sio Su'a William ," 1,670 ", 374 ," 7,730 "," 5,549 "," 15,323 ",961,
, Street Maryan , -   , 635 ," 10,248 "," 3,705 "," 14,588 ",,
, Tirikatene Rino , -   ," 1,843 "," 13,862 "," 5,738 "," 21,443 ",,
, Twyford Phil ," 2,226 ", 918 ," 11,937 "," 7,034 "," 22,115 ",,
, Wall Louisa ," 5,619 ", 856 ," 12,169 "," 4,726 "," 23,370 ",,
, Woods Megan ," 5,214 ", 906 ," 8,858 "," 2,743 "," 17,722 ",,
Labour Total,," 101,096 "," 26,277 "," 309,162 "," 148,828 "," 585,362 ","18,885",
Mana, Harawira Hone ," 1,948 "," 4,377 "," 27,631 "," 11,172 "," 45,127 ",,
Mana Total,," 1,948 "," 4,377 "," 27,631 "," 11,172 "," 45,127 ",,
Maori, Flavell Te Ururoa ," 5,916 "," 1,100 "," 15,231 "," 7,787 "," 30,035 ",,
, Sharples Pita , -   , -   ," 4,403 ", -   ," 4,403 ",,
, Turia Tariana , -   , -   , 279 , -   , 279 ,,
Maori Total,," 5,916 "," 1,100 "," 19,913 "," 7,787 "," 34,716 ",,
National,  Adams Amy  , -   , -   ," 1,750 ", -   ," 1,750 ",,
,  Ardern Shane  ," 5,217 ", 313 ," 6,559 "," 1,976 "," 14,065 ",,
,  Auchinvole Chris  ," 5,478 "," 1,214 "," 12,223 "," 3,653 "," 22,567 ",,
, Bakshi Kanwaljit Singh  ," 4,991 ", -   ," 8,169 "," 9,932 "," 23,091 ","4,673",
, Barry Maggie ," 6,188 ", 135 ," 7,387 "," 2,737 "," 16,447 ",,
,  Bennett David  ," 3,200 ", 435 ," 5,396 "," 3,655 "," 12,686 ",,
,  Bennett Paula  , -   , -   ," 1,249 ", -   ," 1,249 ",,
,  Blue Jackie  ," 6,330 ", -   ," 8,646 "," 4,998 "," 19,975 ",,
,  Borrows Chester  , -   , -   ," 2,286 ", -   ," 2,286 ",,
,  Bridges Simon  , -   , -   ," 1,458 ", -   ," 1,458 ",,
,  Brownlee Gerry  , -   , -   ," 2,491 ", -   ," 2,491 ",,
,  Calder Cam  ," 5,032 ", 139 ," 6,249 "," 5,779 "," 17,199 ",,
,  Carter David  , -   , -   ," 3,186 ", -   ," 3,186 ",,
,  Coleman Jonathan  , -   , -   , 624 , -   , 624 ,,
,  Collins Judith  , -   , -   , 451 , -   , 451 ,,
,  Dean Jacqui  ," 3,478 ", 882 ," 10,026 "," 6,312 "," 20,698 ",,
,  English Bill  , -   , -   ," 2,027 ", -   ," 2,027 ",,
,  Finlayson Chris  , -   , -   , -   , 250 , 250 ,,
,  Foss Craig  , -   , -   , 420 , -   , 420 ,,
, Goldsmith Paul ," 1,313 ", 285 ," 8,116 "," 3,233 "," 12,946 ",,
,  Goodhew Jo  , -   , -   ," 1,153 ", 945 ," 2,098 ",,
,  Groser Tim  , -   , -   , -   , -   , -   ,,
,  Guy Nathan  , -   , -   , 788 , -   , 788 ,,
,  Hayes John  ," 5,217 ", 739 ," 2,163 "," 4,181 "," 12,301 ",961,
,  Heatley Philip  , -   , -   ," 4,542 ", 29 ," 4,571 ",,
,  Henare Tau  ," 6,957 ", -   ," 9,148 "," 6,318 "," 22,422 ",,
,  Hutchison Paul  ," 5,217 ", -   ," 7,899 "," 10,013 "," 23,129 ",,
,  Joyce Steven  , -   , -   ," 3,147 ", -   ," 3,147 ",,
,  Kaye Nikki  ," 5,357 ", -   ," 9,701 "," 9,587 "," 24,644 ",,
,  Key John  , -   , -   ," 1,140 ", -   ," 1,140 ",,
,  King Colin  ," 5,783 ", 491 ," 9,332 "," 4,438 "," 20,043 ",,
,  Lee Melissa  ," 5,600 ", 266 ," 6,520 "," 4,296 "," 16,682 ","17,164",
,  Lotu-liga Peseta Sam  ," 5,217 ", -   ," 10,676 "," 4,631 "," 20,525 ",,
,  Macindoe Tim  ," 3,478 ", -   ," 5,643 "," 3,463 "," 12,584 ",,
,  McClay Todd  ," 4,347 ", 626 ," 6,810 "," 4,649 "," 16,433 ",,
,  McCully Murray  , -   , -   , -   , -   , -   ,,
, McKelvie Ian ," 5,603 "," 1,043 "," 5,527 "," 6,421 "," 18,595 ",,
, Mitchell Mark ," 2,643 ", 122 ," 9,524 "," 3,131 "," 15,420 ",,
, Ngaro Alfred ," 2,504 ", 126 ," 8,094 "," 2,974 "," 13,698 ",961,
, O'Connor Simon ," 5,425 ", 143 ," 7,354 "," 5,473 "," 18,394 ",,
,  Parata Hekia  , -   , -   , -   , -   , -   ,,
,  Ross Jami-Lee  ," 2,365 ", -   ," 7,363 "," 2,778 "," 12,507 ",,
,  Roy Eric  ," 4,353 ", 485 ," 12,179 "," 1,752 "," 18,769 ",,
,  Ryall Tony  , -   , -   ," 1,763 ", -   ," 1,763 ",,
, Sabin Mike ," 5,603 "," 1,200 "," 18,618 "," 6,940 "," 32,362 ",,
,  Shanks Katrina  , -   , 933 ," 2,255 "," 2,268 "," 5,456 ",,
, Simpson Scott ," 3,896 ", 951 ," 6,130 "," 6,944 "," 17,921 ",,
,  Smith Lockwood  ," 9,375 ", -   ," 7,178 ", -   ," 16,553 ","32,441",
,  Smith Nick  ," 7,360 ", 594 ," 14,580 "," 2,541 "," 25,075 ",,
,  Tisch Lindsay  ," 1,212 ", 290 ," 3,808 "," 5,274 "," 10,584 ","6,510",
,  Tolley Anne  , -   , -   ," 3,918 ", -   ," 3,918 ",,
,  Tremain Chris  , -   , -   , 890 , -   , 890 ,,
,  Upston Louise  ," 5,655 "," 1,462 "," 7,410 "," 7,652 "," 22,179 ",,
,  Wagner Nicky  ," 3,478 "," 1,021 "," 9,710 "," 2,010 "," 16,219 ",,
,  Wilkinson Kate  , -   , -   , -   , -   , -   ,,
,  Williamson Maurice  , -   , -   , -   , -   , -   ,,
,  Woodhouse Michael  ," 6,406 ", -   ," 8,109 "," 2,493 "," 17,008 ",,
, Yang Jian ," 2,643 ", -   ," 7,073 "," 5,066 "," 14,782 ",,
