Members Expense Disclosure -  July to September 2014,,,,,,,
,,,,,,,
 Party , Member , Accommodation ,, Travel ,, Grand Total ,Inter-Parliamentary Office of the Clerk
,, Wellington , Non Wellington , Air , Surface , Grand Total ,
 Green , Browning Steffan ," 5,135 ", 561 ," 12,353 "," 2,437 "," 20,486 ",-
, Clendon David ," 5,143 ", 143 ," 14,426 "," 1,374 "," 21,086 ",-
, Delahunty Catherine ," 4,471 ", - ," 5,053 "," 1,781 "," 11,304 ",-
, Genter Julie-Anne ," 3,676 ", 139 ," 4,527 ", 342 ," 8,684 ",-
, Graham Kennedy ," 4,913 ", 403 ," 6,662 "," 1,151 "," 13,129 ",-
, Hague Kevin ," 4,769 ", 104 ," 15,021 "," 1,710 "," 21,604 ",-
, Hughes Gareth , - , 517 ," 13,726 "," 4,300 "," 18,543 ",-
, Logie Jan , - , 816 ," 8,342 ", 925 ," 10,083 ",-
, Mathers Mojo ," 4,173 ", 270 ," 7,713 "," 2,721 "," 14,875 ",-
, Norman Russel , - , 800 ," 12,713 "," 2,394 "," 15,908 ",-
, Roche Denise ," 4,247 ", - ," 7,739 "," 2,903 "," 14,889 ",-
, Sage Eugenie ," 2,633 ", 252 ," 8,036 "," 1,277 "," 12,198 ",-
, Turei Metiria ," 4,620 ", 296 ," 13,005 "," 4,181 "," 22,102 ",-
, Walker Holly , - , - , - , 508 , 508 ,-
 Green Total ,," 43,777 "," 4,302 "," 129,315 "," 28,004 "," 205,399 ",-
 Independent , Horan Brendan , 722 ," 1,457 "," 10,147 "," 13,138 "," 25,463 ",-
 Independent Total ,, 722 ," 1,457 "," 10,147 "," 13,138 "," 25,463 ",-
 Labour , Ardern Jacinda ," 4,304 ", 139 ," 8,092 "," 1,217 "," 13,752 ",-
, Beaumont Carol ," 3,656 ", 139 ," 7,088 "," 2,919 "," 13,801 ",-
, Clark David ," 1,589 ", - ," 6,257 "," 2,533 "," 10,379 ",-
, Cosgrove Clayton , 803 , 294 ," 14,317 "," 9,046 "," 24,460 ",-
, Cunliffe David ," 5,315 "," 1,069 "," 14,178 "," 24,169 "," 44,731 ",-
, Curran Clare ," 5,255 ", 461 ," 5,376 "," 2,728 "," 13,820 ",-
, Davis Kelvin ," 1,670 "," 2,157 "," 6,219 "," 4,402 "," 14,448 ",-
, Dyson Ruth ," 3,874 ", 113 ," 6,115 "," 2,513 "," 12,616 ",-
, Faafoi Kris , - , 603 ," 2,702 "," 8,525 "," 11,829 ",-
, Fenton Darien ," 1,391 ", 647 ," 6,995 "," 5,021 "," 14,054 ",-
, Goff Phil ," 2,981 ", 261 ," 5,583 "," 7,010 "," 15,835 ",-
, Hipkins Chris , - ," 2,084 "," 9,192 "," 7,852 "," 19,128 ",-
, Huo Raymond ," 1,278 ", - ," 4,285 "," 8,536 "," 14,099 ",-
, King Annette , - , 811 ," 11,382 "," 2,751 "," 14,943 ",-
, Lees-Galloway Iain ," 3,085 ", 130 , 619 ," 1,363 "," 5,197 ",-
, Little Andrew , - , 383 ," 12,884 "," 2,324 "," 15,592 ",-
, Mackey Moana ," 3,759 "," 3,054 "," 9,722 "," 6,362 "," 22,897 ",-
, Mahuta Nanaia ," 4,000 "," 1,104 "," 8,240 "," 5,764 "," 19,108 ",-
, Mallard Trevor , - , 139 ," 3,756 "," 3,700 "," 7,596 ",-
, Moroney Sue ," 4,573 ", 152 ," 5,926 "," 1,169 "," 11,820 ",-
, O'Connor Damien ," 5,257 ", 838 ," 11,336 "," 4,657 "," 22,088 ",-
, Parker David ," 5,257 ", 134 ," 12,666 "," 4,281 "," 22,338 ",-
, Prasad Rajen ," 4,557 ", - ," 3,308 "," 3,572 "," 11,437 ",-
, Robertson Grant , - , 810 ," 10,592 "," 1,272 "," 12,674 ",-
, Robertson Ross ," 2,484 ", 357 ," 15,376 "," 9,322 "," 27,537 ",-
, Shearer David ," 1,417 ", 265 ," 6,890 "," 5,815 "," 14,388 ",-
, Sio Su'a William , 835 , 681 ," 7,956 "," 7,534 "," 17,006 ",-
, Street Maryan , - , 576 ," 15,801 "," 2,282 "," 18,658 ",-
, Tirikatene Rino , - ," 1,679 "," 12,754 "," 3,808 "," 18,242 ",-
, Twyford Phil ," 1,391 ", 676 ," 7,713 "," 3,410 "," 13,190 ",-
, Wall Louisa ," 4,585 ", 224 ," 6,130 "," 2,350 "," 13,289 ",-
, Whaitiri Meka ," 4,967 "," 1,375 "," 9,300 "," 6,068 "," 21,711 ",-
, Williams Poto ," 5,655 ", 230 ," 6,295 "," 1,363 "," 13,544 ","1,033"
, Woods Megan ," 4,622 ", 286 ," 6,029 "," 1,844 "," 12,781 ",-
 Labour Total ,," 88,562 "," 21,874 "," 281,074 "," 167,479 "," 558,989 ","1,033"
 Mana , Harawira Hone ," 3,974 "," 6,860 "," 28,225 "," 14,961 "," 54,020 ",-
 Mana Total ,," 3,974 "," 6,860 "," 28,225 "," 14,961 "," 54,020 ",-
 Maori , Flavell Te Ururoa ," 4,925 "," 2,089 "," 16,778 "," 11,485 "," 35,277 ",-
, Sharples Pita , - , - ," 2,858 ", - ," 2,858 ",-
, Turia Tariana , - , - ," 1,026 ", - ," 1,026 ",-
 Maori Total ,," 4,925 "," 2,089 "," 20,661 "," 11,485 "," 39,161 ",-
 National , Adams Amy , - , - , 589 , - , 589 ,-
, Ardern Shane ," 4,622 ", - ," 3,136 "," 7,827 "," 15,584 ",-
, Auchinvole Chris ," 2,678 ", 278 ," 12,948 "," 2,274 "," 18,178 ",-
, Bakshi Kanwaljit Singh ," 4,173 ", 368 ," 5,089 "," 4,507 "," 14,137 ",-
, Barry Maggie ," 2,903 ", 138 ," 3,460 "," 3,272 "," 9,773 ",-
, Bennett David ," 1,000 ", - ," 2,091 ", 991 ," 4,082 ",-
, Bennett Paula , - , - , 410 , - , 410 ,-
, Borrows Chester , - , - ," 1,585 ", - ," 1,585 ",-
, Bridges Simon , - , - ," 1,072 ", - ," 1,072 ",-
, Brownlee Gerry , - , - ," 3,612 ", - ," 3,612 ",-
, Calder Cam ," 3,289 ", 270 ," 9,090 "," 9,326 "," 21,975 ",-
, Carter David ," 8,219 "," 1,590 "," 10,744 "," 7,708 "," 28,261 ",-
, Coleman Jonathan , - , - ," 1,378 ", - ," 1,378 ",-
, Collins Judith , - , - ," 1,213 ", - ," 1,213 ",-
, Dean Jacqui ," 4,000 ", 797 ," 7,882 "," 2,823 "," 15,502 ",-
, English Bill , - , - ," 4,266 ", - ," 4,266 ",-
, Foster-Bell Paul , - , 596 ," 2,196 "," 3,206 "," 5,998 ","1,039"
, Goldsmith Paul ," 4,459 ", - ," 5,800 "," 1,784 "," 12,043 ",-
, Goodhew Jo , - , - , 882 , - , 882 ,-
, Guy Nathan , - , - , 758 , - , 758 ,-
, Hauiti Claudette ," 4,327 ", 727 ," 11,612 "," 7,239 "," 23,905 ",-
, Hayes Joanne ," 4,669 ", 104 ," 4,828 "," 1,116 "," 10,718 ",-
, Hayes John ," 4,622 ", 609 ," 3,713 "," 3,692 "," 12,636 ",-
, Heatley Philip ," 4,622 ", 286 ," 11,099 "," 2,844 "," 18,851 ",-
, Henare Tau ," 4,622 ", - ," 5,057 "," 5,341 "," 15,020 ",-
, Hutchison Paul ," 4,622 ", - ," 5,532 "," 7,839 "," 17,993 ","1,038"
, Key John , - , - ," 2,556 ", - ," 2,556 ",-
, King Colin ," 4,719 ", 139 ," 7,436 "," 4,602 "," 16,897 ",-
, Lee Melissa ," 4,570 ", 364 ," 6,122 "," 5,785 "," 16,841 ",-
, Lotu-liga Peseta Sam , - , - ," 2,022 ", - ," 2,022 ",-
, Macindoe Tim ," 2,359 ", - ," 2,877 "," 1,353 "," 6,589 ",-
, McClay Todd , - , - , 359 , - , 359 ,-
, McKelvie Ian ," 4,573 ", 504 , 785 ," 2,877 "," 8,740 ",-
, Mitchell Mark ," 5,050 ", 132 ," 3,334 "," 3,868 "," 12,385 ",-
, Ngaro Alfred ," 5,050 ", - ," 5,532 "," 4,156 "," 14,739 ",-
, O'Connor Simon ," 4,500 ", 278 ," 5,037 "," 4,042 "," 13,857 ",-
, Parata Hekia , - , - ," 2,284 ", - ," 2,284 ",-
, Ross Jami-Lee ," 4,459 ", - ," 4,883 "," 3,324 "," 12,665 ",-
, Roy Eric ," 3,611 ", 280 ," 8,018 "," 2,341 "," 14,250 ",-
, Ryall Tony , - , - ," 2,935 ", - ," 2,935 ",-
, Sabin Mike ," 4,573 ", 687 ," 7,834 "," 8,221 "," 21,314 ",-
, Simpson Scott ," 2,903 ", 426 ," 2,742 "," 3,802 "," 9,872 ","1,038"
, Smith Nick , - , - ," 2,154 ", - ," 2,154 ",-
, Tisch Lindsay ," 4,622 ", - ," 3,221 "," 4,564 "," 12,407 ",-
, Tolley Anne , - , - ," 1,049 ", - ," 1,049 ",-
, Tremain Chris , 974 , 296 ," 7,591 "," 1,096 "," 9,956 ",-
, Upston Louise ," 4,570 "," 1,058 "," 6,512 "," 7,246 "," 19,386 ",-
 National , Wagner Nicky , - , - , 211 , - , 211 ,-
, Wilkinson Kate ," 1,530 ", 278 ," 4,855 "," 5,104 "," 11,768 ",-
, Williamson Maurice ," 4,252 ", - ," 10,904 "," 4,961 "," 20,117 ",-
, Yang Jian ," 1,252 ", 673 ," 5,035 "," 3,784 "," 10,743 ","1,188"
, Young Jonathan ," 5,050 ", - ," 3,962 "," 1,855 "," 10,867 ",-
 National Total ,," 131,442 "," 10,879 "," 230,292 "," 144,769 "," 517,381 ","4,304"
 New Zealand First , Martin Tracey ," 2,696 ", 664 ," 7,849 "," 10,894 "," 22,102 ",-
, O'Rourke Denis ," 4,573 ", 294 ," 6,269 "," 3,771 "," 14,906 ",-
, Peters Winston ," 1,391 ", - ," 14,281 "," 7,499 "," 23,172 ",-
, Prosser Richard ," 4,622 ", 856 ," 16,137 "," 5,139 "," 26,754 ",-
, Stewart Barbara ," 1,530 ", 452 ," 4,525 "," 3,067 "," 9,574 ",-
, Lole-Taylor Asenati ," 3,725 ", 139 ," 5,653 "," 5,794 "," 15,311 ",-
, Williams Andrew , 974 , 125 ," 6,012 "," 2,063 "," 9,174 ",-
 New Zealand First Total ,," 19,511 "," 2,530 "," 60,726 "," 38,226 "," 120,993 ",-
 United Future , Dunne Peter , - , - ," 1,696 ", - ," 1,696 ",-
 United Future Total ,, -   , -   ," 1,696 ", -   ," 1,696 ",-
 Grand Total ,," 292,912 "," 49,991 "," 762,137 "," 418,062 "," 1,523,103 ","5,337"
