Members Expense Disclosure - July to September 2015,,,,,,,,,,
,,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter Parliamentary - Office of the Clerk,,,
,,Wellington,Non Wellington,Air,Surface,,,,,
,,,,,,,,,,
Act, Seymour David , -   , -   , -   , -   , -   , -   ,,,
Act Total,, -   , -   , -   , -   , -   , -   ,,,
,,,,,,,,,,
Green, Browning Steffan ," 6,551 "," 2,633 "," 8,403 "," 3,757 "," 21,345 ", -   ,,,
, Clendon David ," 6,551 "," 1,294 "," 7,265 "," 2,762 "," 17,872 ", -   ,,,
, Delahunty Catherine ," 4,586 ", 701 ," 6,095 "," 3,915 "," 15,298 ", -   ,,,
, Genter Julie-Anne ," 3,931 ", - ," 3,608 ", 865 ," 8,404 ", -   ,,,
, Graham Kennedy ," 6,551 ", 653 ," 9,982 "," 4,588 "," 21,775 ", -   ,,,
, Hague Kevin ," 6,551 ", 950 ," 9,459 "," 1,784 "," 18,744 ", -   ,,,
, Hughes Gareth , - ," 1,897 "," 10,204 "," 2,788 "," 14,890 ", -   ,,,
, Logie Jan , - , 965 ," 4,825 "," 1,587 "," 7,377 "," 2,960 ",,,
, Mathers Mojo ," 6,551 ", 522 ," 9,253 "," 1,282 "," 17,609 ", -   ,,,
, Norman Russel , - , 381 ," 5,348 "," 1,610 "," 7,339 ", -   ,,,
, Roche Denise ," 4,586 "," 2,217 "," 10,997 "," 4,901 "," 22,701 ", -   ,,,
, Sage Eugenie ," 4,586 ", 559 ," 5,823 "," 2,811 "," 13,779 ", -   ,,,
, Shaw James , - ," 3,042 "," 8,889 "," 2,612 "," 14,543 ", -   ,,,
, Turei Metiria ," 6,551 "," 1,642 "," 11,671 "," 3,420 "," 23,284 ", -   ,,,
Green Total,," 56,996 "," 17,459 "," 111,822 "," 38,684 "," 224,961 "," 2,960 ",,,
,,,,,,,,,,
Labour, Ardern Jacinda ," 6,551 ", 461 ," 7,195 "," 4,879 "," 19,086 ", -   ,,,
, Clark David ," 4,744 ", 819 ," 7,951 "," 5,927 "," 19,442 ", -   ,,,
, Cosgrove Clayton ," 1,817 "," 1,478 "," 6,676 "," 4,103 "," 14,074 ", -   ,,,
, Cunliffe David ," 6,343 ", 399 ," 6,509 "," 2,602 "," 15,852 ", -   ,,,
, Curran Clare ," 6,551 ", 769 ," 8,102 "," 3,348 "," 18,770 ", -   ,,,
, Davis Kelvin ," 6,433 "," 3,044 "," 11,979 "," 6,614 "," 28,071 ", -   ,,,
, Dyson Ruth ," 6,551 ", 138 ," 6,576 "," 6,216 "," 19,481 ", -   ,,,
, Faafoi Kris , -   , 944 ," 11,551 "," 4,859 "," 17,354 ", -   ,,,
, Goff Phil ," 1,817 ", -   ," 4,806 "," 6,581 "," 13,204 ", -   ,,,
, Henare Peeni ," 2,643 ", 311 ," 16,165 "," 5,077 "," 24,196 ", -   ,,,
, Hipkins Chris , -   ," 1,398 "," 5,431 "," 6,031 "," 12,859 ", -   ,,,
, King Annette , -   , 956 ," 7,950 "," 2,698 "," 11,604 ", -   ,,,
, Lees-Galloway Iain ," 4,586 ", 328 ," 3,061 "," 1,907 "," 9,882 ", -   ,,,
, Little Andrew , -   ," 1,973 "," 14,744 "," 1,017 "," 17,733 ", -   ,,,
, Mahuta Nanaia ," 6,551 ", 161 ," 9,832 "," 2,507 "," 19,051 ", -   ,,,
, Mallard Trevor , -   , 291 ," 5,846 "," 1,975 "," 8,112 ", -   ,,,
, Moroney Sue ," 5,541 ", 391 ," 4,641 "," 1,494 "," 12,066 "," 2,960 ",,,
, Nash Stuart ," 6,551 ", 659 ," 5,792 "," 5,348 "," 18,350 ", -   ,,,
, O'Connor Damien ," 2,610 ", 124 ," 13,144 "," 1,853 "," 17,730 ", -   ,,,
, Parker David ," 2,649 ", 141 ," 13,120 "," 3,361 "," 19,272 ", -   ,,,
, Robertson Grant , -   ," 1,305 "," 5,230 "," 1,329 "," 7,864 ", -   ,,,
, Rurawhe Adrian ," 6,551 "," 3,241 "," 7,428 "," 5,978 "," 23,198 ", -   ,,,
, Sepuloni Carmel ," 4,586 ", 386 ," 6,660 "," 2,322 "," 13,954 ", -   ,,,
, Shearer David ," 2,809 ", -   ," 6,184 "," 4,250 "," 13,243 ", -   ,,,
, Salesa Jenny , 993 ," 2,890 "," 8,308 "," 2,205 "," 14,396 ", -   ,,,
, Sio Su'a William ," 2,478 ", 148 ," 8,560 "," 5,082 "," 16,268 ", -   ,,,
, Tirikatene Rino ," 3,931 "," 1,401 "," 8,866 "," 3,265 "," 17,462 ", -   ,,,
, Twyford Phil ," 3,965 ", 296 ," 5,902 "," 4,271 "," 14,433 ", -   ,,,
, Wall Louisa ," 6,551 ", -   ," 6,413 "," 2,104 "," 15,069 ", -   ,,,
, Whaitiri Meka ," 3,022 ",-673 ," 8,660 "," 3,058 "," 14,067 ", -   ,,,
, Williams Poto ," 6,551 ", 748 ," 7,397 "," 4,198 "," 18,893 ", -   ,,,
, Woods Megan ," 6,551 ", 495 ," 7,050 "," 5,274 "," 19,370 ", -   ,,,
Labour Total,," 119,928 "," 25,019 "," 257,727 "," 121,732 "," 524,406 "," 2,960 ",,,
,,,,,,,,,,
Maori, Flavell Te Ururoa , - , - ," 2,915 ", - ," 2,915 ", -   ,,,
, Fox Marama ," 4,586 "," 1,045 "," 19,354 "," 3,022 "," 28,006 ", -   ,,,
Maori Total,," 4,586 "," 1,045 "," 22,269 "," 3,022 "," 30,921 ", -   ,,,
,,,,,,,,,,
National, Adams Amy , - , - , - , - , - , -   ,,,
, Bakshi Kanwaljit Singh ," 6,551 ", - ," 6,038 "," 6,205 "," 18,794 "," 3,998 ",,,
, Barclay Todd ," 6,551 "," 2,937 "," 11,595 "," 7,365 "," 28,448 ", -   ,,,
, Barry Maggie , - , - , 433 , - , 433 , -   ,,,
, Bayly Andrew ," 6,551 ", - ," 5,140 "," 5,297 "," 16,989 ", -   ,,,
, Bennett David ," 3,171 ", 761 ," 3,973 "," 3,342 "," 11,248 ", -   ,,,
, Bennett Paula , - , - , 845 , - , 845 , -   ,,,
, Bishop Chris , - , 889 ," 4,333 "," 2,813 "," 8,036 ", -   ,,,
, Borrows Chester ," 9,593 ", 603 ," 4,302 "," 1,254 "," 15,752 ", -   ,,,
