Members' expense disclosure from 1 October 2011 to 31 December 2011,,,,,,,,,
"The expenses shown in the attached table were paid by the Parliamentary Service (air, surface travel, Wellington accommodation and non-Wellington accommodation) and the Office of the Clerk (inter-parliamentary travel) between 1 October 2011 and 31 December 2011.",,,,,,,,,
,,,,,,,,,
Party,Member,Accommodation,,Travel,,Sub-Total Parliamentary Service,Inter-Parliamentary Office of the Clerk,,
,,Wellington,Non Wellington,Air,Surface,,,,
Act, Banks John , -   , -   ," 2,956 ", -   ," 2,956 ", -   ,,
, Boscawen John ," 11,270 ", 413 ," 7,104 "," 3,459 "," 22,246 ", -   ,,
, Calvert Hilary ," 2,099 ", 696 ," 5,020 "," 4,569 "," 12,384 ", -   ,,
, Douglas Roger , 974 , 77 ," 8,919 "," 2,291 "," 12,262 ", -   ,,
, Hide Rodney , -   , -   ," 4,103 ", -   ," 4,103 ", -   ,,
, Roy Heather , -   ," 1,330 "," 4,670 "," 5,756 "," 11,756 ", -   ,,
Act Total,," 14,342 "," 2,516 "," 29,815 "," 16,076 "," 62,750 ", -   ,,
Green, Browning Steffan , 373 , 157 ," 1,845 ", 386 ," 2,761 ", -   ,,
, Clendon David ," 5,201 ", 274 ," 9,080 "," 3,627 "," 18,182 ", -   ,,
, Delahunty Catherine ," 4,487 "," 1,143 "," 5,881 "," 4,852 "," 16,363 ", -   ,,
, Genter Julie-Anne , -   , -   ," 1,136 ", 193 ," 1,329 ", -   ,,
, Graham Kennedy ," 1,941 ", 668 ," 16,554 "," 4,103 "," 23,265 ", -   ,,
, Hague Kevin ," 4,927 "," 1,369 "," 15,958 "," 6,509 "," 28,763 ", -   ,,
, Hughes Gareth , -   ," 1,421 "," 13,325 "," 3,805 "," 18,551 ", -   ,,
, Kedgley Sue , -   , 716 ," 3,457 "," 1,679 "," 5,851 ", -   ,,
, Locke Keith ," 1,542 ", 135 ," 10,992 "," 3,560 "," 16,230 ", -   ,,
, Logie Jan , -   , 157 , 468 , -   , 624 , -   ,,
, Mathers Mojo , 139 , 157 ," 1,985 ", 305 ," 2,586 ", -   ,,
, Norman Russel , -   , 537 ," 11,961 "," 3,216 "," 15,714 ", -   ,,
, Roche Denise , -   , 157 ," 2,479 "," 1,486 "," 4,121 ", -   ,,
, Sage Eugenie , -   , 157 ," 1,837 ", 152 ," 2,146 ", -   ,,
, Turei Metiria ," 3,401 ", 560 ," 17,202 "," 2,642 "," 23,805 ", -   ,,
, Walker Holly , -   , 157 , 468 , 168 , 792 , -   ,,
Green Total,," 21,637 "," 7,447 "," 112,315 "," 36,129 "," 177,529 ", -   ,,
Independent, Carter Chris , -   , -   , 572 , 149 , 721 , -   ,,
Independent Total,, -   , -   , 572 , 149 , 721 , -   ,,
Labour, Ardern Jacinda ," 3,600 ", -   ," 4,597 "," 1,175 "," 9,372 ", -   ,,
, Barker Rick ," 2,600 ", 963 ," 6,919 "," 7,556 "," 18,037 ", -   ,,
, Beaumont Carol ," 3,654 ", -   ," 5,205 "," 1,850 "," 10,710 ", -   ,,
, Burns Brendon ," 3,225 ", -   ," 4,725 "," 2,359 "," 10,309 ", -   ,,
, Chadwick Stephanie ," 3,478 ", 139 ," 9,177 "," 6,760 "," 19,554 ", -   ,,
, Chauvel Charles , -   ," 1,525 "," 9,658 "," 3,475 "," 14,659 ", -   ,,
, Choudhary Ashraf ," 3,790 ", 257 ," 5,563 "," 3,105 "," 12,714 ", -   ,,
, Clark David , -   , -   ," 1,930 ", 171 ," 2,101 ", -   ,,
, Cosgrove Clayton ," 2,799 ", -   ," 9,157 "," 8,382 "," 20,338 ", -   ,,
, Cunliffe David ," 6,603 ", 143 ," 12,832 "," 8,461 "," 28,040 ", -   ,,
, Curran Clare ," 3,600 ", -   ," 8,083 "," 3,025 "," 14,709 ", -   ,,
, Dalziel Lianne ," 5,333 ", -   ," 11,230 "," 3,655 "," 20,218 ", -   ,,
, Davis Kelvin ," 3,259 "," 1,067 "," 7,166 "," 6,084 "," 17,575 ", -   ,,
, Dyson Ruth ," 3,124 ", 227 ," 9,858 "," 4,821 "," 18,031 ", -   ,,
, Faafoi Kris , -   , -   ," 6,980 "," 9,584 "," 16,564 ", -   ,,
, Fenton Darien ," 2,267 ", -   ," 11,284 "," 3,959 "," 17,510 ", -   ,,
, Goff Phil ," 3,279 ", 551 ," 17,127 "," 11,609 "," 32,566 ", -   ,,
, Hawkins George ," 2,805 ", -   ," 17,451 "," 3,589 "," 23,845 ", -   ,,
, Hipkins Chris , -   , -   ," 1,828 "," 3,807 "," 5,635 ", -   ,,
, Hodgson Pete , 678 , 657 ," 8,060 "," 3,091 "," 12,487 ", -   ,,
, Horomia Parekura , -   , 235 ," 8,461 "," 1,866 "," 10,561 ", -   ,,
, Huo Raymond , 139 ," 1,252 "," 3,822 "," 5,505 "," 10,719 ", -   ,,
, Jones Shane ," 3,478 ", -   ," 14,447 "," 6,050 "," 23,975 ", -   ,,
, King Annette , -   , 711 ," 8,651 "," 5,230 "," 14,593 ", -   ,,
, Lees-Galloway Iain ," 2,985 ", 157 ," 2,569 ", 486 ," 6,197 ", -   ,,
, Little Andrew , -   , -   , -   , 43 , 43 , -   ,,
, Mackey Moana ," 4,047 "," 1,114 "," 10,121 "," 5,629 "," 20,911 ", -   ,,
, Mahuta Nanaia ," 3,478 ", 280 ," 6,630 "," 6,300 "," 16,689 ", -   ,,
, Mallard Trevor , -   , 253 ," 10,126 "," 7,667 "," 18,047 ", -   ,,
, Moroney Sue ," 2,935 ", 250 ," 6,320 "," 1,148 "," 10,653 ", -   ,,
, Nash Stuart ," 2,003 ", 435 ," 4,267 "," 3,341 "," 10,046 ", -   ,,
, O'Connor Damien ," 2,928 ", 226 ," 10,489 "," 4,199 "," 17,842 ", -   ,,
, Parker David ," 5,985 ", -   ," 12,894 "," 4,968 "," 23,846 ", -   ,,
, Pillay Lynne ," 2,901 ", 128 ," 10,810 "," 6,234 "," 20,072 ", -   ,,
, Prasad Rajen ," 6,439 ", -   ," 5,859 "," 8,758 "," 21,056 ", -   ,,
, Ririnui Mita ," 3,061 ", -   ," 10,057 "," 9,980 "," 23,097 ", -   ,,
, Robertson Grant , -   , 252 ," 9,237 "," 1,311 "," 10,800 ", -   ,,
, Robertson Ross ," 1,739 ", -   ," 11,738 "," 8,115 "," 21,592 ", -   ,,
, Sepuloni Carmel ," 3,120 ", 139 ," 4,828 "," 3,993 "," 12,080 ", -   ,,
, Shearer David ," 5,985 ", 281 ," 9,597 "," 4,803 "," 20,665 ", -   ,,
, Sio Su'a William , 557 , 111 ," 8,114 "," 5,944 "," 14,726 ", -   ,,
, Street Maryan ," 3,592 ", 725 ," 6,012 "," 3,725 "," 14,054 ", -   ,,
, Tirikatene Rino , -   , 135 ," 1,872 ", 311 ," 2,318 ", -   ,,
, Twyford Phil , -   , -   ," 5,151 "," 2,469 "," 7,620 ", -   ,,
, Wall Louisa , 267 , -   ," 3,559 "," 2,914 "," 6,740 ", -   ,,
, Woods Megan , -   , -   ," 1,534 ", 142 ," 1,675 ", -   ,,
Labour Total,," 109,733 "," 12,212 "," 354,464 "," 207,506 "," 683,916 ", -   ,,
Mana, Harawira Hone ," 1,761 "," 7,662 "," 27,067 "," 18,471 "," 54,961 ", -   ,,
Mana Total,," 1,761 "," 7,662 "," 27,067 "," 18,471 "," 54,961 ", -   ,,
Maori, Flavell Te Ururoa ," 3,940 ", 603 ," 9,043 "," 7,743 "," 21,328 ", -   ,,
, Katene Rahui ," 2,624 "," 1,374 "," 14,979 "," 10,458 "," 29,436 ", -   ,,
, Sharples Pita , -   , -   ," 2,485 ", -   ," 2,485 ", -   ,,
, Turia Tariana , -   , -   ," 1,096 ", -   ," 1,096 ", -   ,,
Maori Total,," 6,564 "," 1,977 "," 27,603 "," 18,201 "," 54,345 ", -   ,,
National,  Adams Amy  ," 3,713 ", 139 ," 7,502 "," 2,429 "," 13,783 ", -   ,,
,  Ardern Shane  ," 6,957 ", 501 ," 4,228 "," 3,533 "," 15,218 ", -   ,,
,  Auchinvole Chris  ," 3,391 "," 2,709 "," 8,803 "," 10,509 "," 25,412 ", -   ,,
,  Bakshi Kanwaljit Singh  ," 1,409 ", -   ," 4,212 "," 2,429 "," 8,049 ", -   ,,
, Barry Maggie , 417 , -   ," 1,464 ", 141 ," 2,023 ", -   ,,
,  Bennett David  , 557 , -   ," 2,490 "," 1,331 "," 4,378 ", -   ,,
,  Bennett Paula  , -   , -   , -   , 865 , 865 , -   ,,
,  Blue Jackie  ," 2,957 ", -   ," 5,273 "," 3,209 "," 11,439 ", -   ,,
,  Borrows Chester  ," 1,217 ", -   ," 8,070 "," 7,636 "," 16,924 ", -   ,,
,  Bridges Simon  , 835 , 300 ," 7,374 "," 5,253 "," 13,762 ", -   ,,
,  Brownlee Gerry  , -   , -   ," 4,654 ", -   ," 4,654 ", -   ,,
,  Calder Cam  ," 4,999 ", -   ," 2,136 ", 684 ," 7,819 ", -   ,,
,  Carter David  , -   , -   ," 4,746 ", -   ," 4,746 ", -   ,,
,  Carter John  , -   , -   , -   , -   , -   , -   ,,
,  Coleman Jonathan  , -   , -   , 818 , -   , 818 , -   ,,
,  Collins Judith  , -   , -   ," 2,852 ", -   ," 2,852 ", -   ,,
,  Dean Jacqui  ," 3,478 ", 497 ," 4,107 "," 2,874 "," 10,956 ", -   ,,
,  English Bill  , -   , -   ," 6,976 ",-263 ," 6,713 ", -   ,,
,  Finlayson Chris  , -   , -   , -   , -   , -   , -   ,,
,  Foss Craig  , -   , -   ," 1,885 ", -   ," 1,885 ", -   ,,
,  Gilmore Aaron  ," 2,723 ", -   ," 6,125 "," 2,888 "," 11,736 ", -   ,,
, Goldsmith Paul , -   , -   ," 2,211 ", 564 ," 2,775 ", -   ,,
,  Goodhew Jo  ," 3,608 ", 505 ," 6,939 "," 6,326 "," 17,378 ", -   ,,
,  Goudie Sandra  ," 4,522 ", 270 , 650 ," 1,928 "," 7,369 ", -   ,,
,  Groser Tim  , -   , -   , 604 , -   , 604 , -   ,,
,  Guy Nathan  , -   , -   ," 1,840 ", 237 ," 2,077 ", -   ,,
,  Hayes John  ," 3,211 ", 384 ," 2,655 "," 6,346 "," 12,597 ", -   ,,
,  Heatley Philip  , -   , -   ," 7,204 ", -   ," 7,204 ", -   ,,
,  Henare Tau  ," 4,000 ", -   ," 5,713 "," 3,884 "," 13,597 ", -   ,,
,  Hutchison Paul  ," 4,000 ", -   ," 3,701 "," 8,013 "," 15,714 ", -   ,,
,  Joyce Steven  , -   , -   ," 2,322 ", -   ," 2,322 ", -   ,,
,  Kaye Nikki  ," 5,453 ", -   ," 2,719 "," 6,397 "," 14,569 ", -   ,,
,  Key John  , -   , -   ," 1,710 ", -   ," 1,710 ", -   ,,
,  King Colin  ," 3,596 ", 772 ," 12,058 "," 3,611 "," 20,037 ", -   ,,
,  Lee Melissa  ," 5,520 ", 417 ," 6,310 "," 6,332 "," 18,579 ", -   ,,
,  Lotu-liga Peseta Sam  ," 6,000 ", -   ," 5,017 "," 5,122 "," 16,140 ", -   ,,
,  Macindoe Tim  , -   , -   ," 3,988 "," 1,702 "," 5,690 ", -   ,,
