Members Expense Disclosure - October - December 2013,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,
,,Wellington,Non Wellington,Air,Surface,,,
Act, Banks John , -   , -   , -   , -   , -   , -   ,
Act Total,, -   , -   , -   , -   , -   , -   ,
Green, Browning Steffan ," 4,800 "," 2,601 "," 7,941 "," 5,216 "," 20,558 ", -   ,
, Clendon David ," 5,107 "," 1,149 "," 9,188 "," 2,863 "," 18,306 ","9,374",
, Delahunty Catherine ," 4,696 ", 438 ," 4,912 "," 4,885 "," 14,930 ", -   ,
, Genter Julie-Anne ," 4,038 ", 422 ," 4,652 ", 814 ," 9,925 ", -   ,
, Graham Kennedy ," 5,425 ", 714 ," 9,929 "," 4,502 "," 20,570 ", -   ,
, Hague Kevin ," 5,344 "," 1,937 "," 10,453 "," 5,840 "," 23,575 ", -   ,
, Hughes Gareth , - , 909 ," 8,784 "," 2,705 "," 12,398 ", -   ,
, Logie Jan , - ," 1,077 "," 7,023 "," 3,424 "," 11,524 ", -   ,
, Mathers Mojo ," 4,174 ", 741 ," 10,471 "," 3,479 "," 18,865 ", -   ,
, Norman Russel , - , 446 ," 4,260 "," 1,535 "," 6,241 ", -   ,
, Roche Denise ," 7,226 ", 550 ," 7,121 "," 5,544 "," 20,441 ", -   ,
, Sage Eugenie ," 2,609 ", 639 ," 8,188 "," 1,939 "," 13,375 ", -   ,
, Turei Metiria ," 5,456 "," 1,202 "," 10,666 "," 5,561 "," 22,885 ", -   ,
, Walker Holly , - , - , - , 233 , 233 , -   ,
Green Total,," 48,875 "," 12,824 "," 103,588 "," 48,539 "," 213,826 ","9,374",
Independent, Horan Brendan ," 3,162 "," 1,051 "," 9,647 "," 9,906 "," 23,766 ", -   ,
Independent Total,," 3,162 "," 1,051 "," 9,647 "," 9,906 "," 23,766 ", -   ,
Labour, Ardern Jacinda ," 4,808 ", 826 ," 8,841 "," 5,176 "," 19,651 ", -   ,
, Beaumont Carol ," 4,584 ", 943 ," 11,548 "," 4,307 "," 21,382 ","1,763",
, Clark David ," 1,670 ", -   ," 8,974 "," 4,521 "," 15,165 ", -   ,
, Cosgrove Clayton ," 4,116 ", 747 ," 9,647 "," 8,199 "," 22,710 ", -   ,
, Cunliffe David ," 6,000 ", 278 ," 20,909 "," 11,241 "," 38,428 ", -   ,
, Curran Clare ," 1,530 ", 938 ," 7,866 "," 5,505 "," 15,839 ", -   ,
, Dalziel Lianne , 629 , 157 ," 1,013 ", 281 ," 2,079 ", -   ,
, Dyson Ruth ," 4,070 ", 435 ," 13,640 ", 626 ," 18,769 ", -   ,
, Faafoi Kris , -   , 835 ," 8,249 "," 7,553 "," 16,636 ", -   ,
, Fenton Darien ," 2,087 ", 130 ," 7,110 "," 7,357 "," 16,683 ", -   ,
, Goff Phil ," 3,130 ", 634 ," 8,129 "," 6,980 "," 18,874 ", -   ,
, Hipkins Chris , -   ," 1,523 "," 5,797 "," 7,410 "," 14,731 ", -   ,
, Huo Raymond ," 2,226 ", 695 ," 5,593 "," 4,388 "," 12,902 ", -   ,
, Jones Shane ," 2,086 "," 1,834 "," 16,376 "," 4,273 "," 24,569 ", -   ,
, King Annette , -   , 360 ," 7,614 "," 2,729 "," 10,704 ", -   ,
, Lees-Galloway Iain ," 3,443 ", 695 ," 3,396 "," 3,597 "," 11,132 ", -   ,
, Little Andrew , -   , 863 ," 6,446 "," 4,295 "," 11,604 ","9,911",
, Mackey Moana ," 4,278 "," 3,307 "," 9,088 "," 4,414 "," 21,088 ", -   ,
, Mahuta Nanaia ," 5,478 "," 1,856 "," 9,287 "," 7,451 "," 24,072 ", -   ,
, Mallard Trevor , -   , 868 ," 6,200 "," 5,974 "," 13,042 ", -   ,
, Moroney Sue ," 4,803 ", 944 ," 7,654 "," 1,863 "," 15,263 ", -   ,
, O'Connor Damien ," 5,400 ", 658 ," 11,075 "," 6,574 "," 23,707 ", -   ,
, Parker David ," 5,400 ", 937 ," 14,830 "," 5,964 "," 27,130 ", -   ,
, Prasad Rajen ," 4,696 ", 390 ," 7,506 "," 4,417 "," 17,008 ","9,644",
, Robertson Grant , -   , 695 ," 7,706 "," 1,083 "," 9,485 ", -   ,
, Robertson Ross ," 2,609 ", 278 ," 6,302 "," 8,867 "," 18,055 ", -   ,
, Shearer David ," 2,087 ", 765 ," 8,410 "," 6,308 "," 17,570 ", -   ,
, Sio Su'a William ," 1,948 ", 667 ," 8,631 "," 6,656 "," 17,901 ", -   ,
, Street Maryan , -   , 929 ," 10,313 "," 3,818 "," 15,060 ", -   ,
, Tirikatene Rino , -   ," 2,508 "," 8,867 "," 5,926 "," 17,301 ", -   ,
, Twyford Phil ," 2,504 ", 409 ," 9,992 "," 7,009 "," 19,914 ", -   ,
, Wall Louisa ," 4,816 "," 1,104 "," 6,539 "," 4,286 "," 16,745 ","12,355",
, Whaitiri Meka ," 5,652 "," 1,142 "," 16,038 "," 4,998 "," 27,830 ", -   ,
, Williams Poto , 278 , -   ," 1,798 ", 167 ," 2,243 ", -   ,
, Woods Megan ," 5,214 ", 278 ," 4,410 "," 4,881 "," 14,783 ", -   ,
Labour Total,," 95,543 "," 29,629 "," 305,793 "," 179,091 "," 610,056 ","33,673",
Mana, Harawira Hone ," 4,431 "," 4,537 "," 27,084 "," 14,901 "," 50,952 ", -   ,
Mana Total,," 4,431 "," 4,537 "," 27,084 "," 14,901 "," 50,952 ", -   ,
Maori, Flavell Te Ururoa ," 5,231 "," 2,055 "," 15,729 "," 9,612 "," 32,627 ", -   ,
, Sharples Pita , - , - ," 2,863 ", - ," 2,863 ", -   ,
, Turia Tariana , - , - ," 2,346 ", - ," 2,346 ", -   ,
Maori Total,," 5,231 "," 2,055 "," 20,938 "," 9,612 "," 37,835 ", -   ,
National, Adams Amy , - , - ," 1,319 ", - ," 1,319 ", -   ,
, Ardern Shane ," 5,217 ", 517 ," 4,260 "," 14,471 "," 24,465 ", -   ,
, Auchinvole Chris ," 4,696 "," 1,821 "," 13,753 "," 11,886 "," 32,155 ", -   ,
, Bakshi Kanwaljit Singh ," 4,383 ", 273 ," 8,176 "," 5,676 "," 18,507 ", -   ,
, Barry Maggie ," 2,609 ", - ," 7,062 "," 3,319 "," 12,990 ", -   ,
, Bennett David ," 2,783 ", 712 ," 4,216 "," 5,129 "," 12,839 ", -   ,
, Bennett Paula , - , - ," 1,607 ", - ," 1,607 ", -   ,
, Borrows Chester , - , - ," 4,056 ", - ," 4,056 ", -   ,
, Bridges Simon , - , - ," 1,071 ", - ," 1,071 ", -   ,
, Brownlee Gerry , - , - ," 2,299 ", - ," 2,299 ", -   ,
, Calder Cam ," 4,535 ", 25 ," 6,615 "," 6,324 "," 17,499 ", -   ,
, Carter David ," 8,630 ", 559 ," 8,932 "," 10,408 "," 28,530 ","19,491",
, Coleman Jonathan , - , - , - , - , - , -   ,
