Members Expense Disclosure - January to March 2018,,,,,,,
Party,Member,Accommodation,,Travel,,Subtotal Parliamentary Service,Inter-Parliamentary - Office of the Clerk
,,Wellington,Non Wellington,Air,Surface,,
Act,"Seymour, David ","5,820",175,"8,831","2,194","17,020", -
Act Total,,"5,820",175,"8,831","2,194","17,020", -
,,,,,,,
Green,"Davidson, Marama","7,134","1,917","9,779","4,888","23,718", -
,"Ghahraman, Golriz","1,643",633,"7,050","2,206","11,532", -
,"Genter, Julie-Anne", - , - , - , - , - , -
,"Hughes, Gareth", - ,155,"5,506","1,051","6,713","11,667"
,"Logie, Jan", - , - , - , - , - , -
,"Sage, Eugenie", - , - , - , - , - , -
,"Shaw, James", - , - , - , - , - , -
,"Swarbrick, Chloe","4,281",725,"8,826","2,510","16,341","12,529"
Green Total,,"13,057","3,430","31,162","10,655","58,303","24,196"
,,,,,,,
Labour,"Allan, Kiri","8,209","2,806","7,185","5,683","23,882", -
,"Andersen, Ginny", -   ,590,"1,367",350,"2,307", -
,"Ardern, Jacinda (1)", -   , -   , -   ,"82,795","82,795", -
,"Clark, David", -   , -   , -   ,7,7, -
,"Coffey, Tamati","3,737",996,"7,789","3,738","16,260","12,529"
,"Craig, Liz","7,134",313,"6,002","2,256","15,705", -
,"Curran, Clare", -   , -   , -   , -   , - , -
,"Davis, Kelvin", -   , -   , -   , -   , - , -
,"Dyson, Ruth","7,134",348,"4,028","6,361","17,871", -
,"Eagle, Paul", -   , -   ,"5,184","1,177","6,361", -
,"Faafoi, Kris", -   , -   , -   ,123,123, -
,"Henare, Peeni", -   , -   , -   , -   , - , -
,"Hipkins, Chris", -   , -   , -   , -   , - , -
,"Huo, Raymond","5,113", -   ,"5,375","3,401","13,889", -
,"Jackson, Willie",374, -   , -   ,39,413, -
,"Kanongata'a-Suisuiki, Anahila","6,974","1,232","4,592","5,778","18,576","9,658"
,"Lees-Galloway, Iain", -   , -   , -   , -   , - , -
,"Little, Andrew (2)", -   , -   , -   ,"1,644","1,644", -
,"Lubeck, Marja","6,355",613,"4,300","4,127","15,395", -
,"Luxton, Jo","7,134",517,"5,555",985,"14,190", -
,"McAnulty, Kieran","7,470","1,210","3,941","3,023","15,643", -
,"Mahuta, Nanaia", -   ,498, -   ,164,662, -
,"Mallard, Trevor", -   ,767,"7,795","6,212","14,774","17,740"
,"Nash, Stuart", -   , -   , -   ,"1,008","1,008", -
,"O'Connor, Greg", -   ,771,"2,120","5,686","8,576", -
,"O'Connor, Damien", -   , -   , -   , -   , - , -
,"Parker, David", -   , -   , -   , -   , - , -
,"Prime, Willow-Jean","7,134", -   ,"6,221","6,078","19,433", -
,"Radhakrishnan, Priyanca","6,975",313,"8,542","3,344","19,174", -
,"Robertson, Grant", -   , -   , -   ,156,156, -
,"Russell, Deborah","5,945",417,"4,126","5,197","15,686", -
,"Rurawhe, Adrian","3,053","1,608","5,117","4,147","13,925", -
,"Sepuloni, Carmel", -   , -   , -   ,110,110, -
,"Salesa, Jenny", -   , -   , -   , -   , - , -
,"Sio Aupito, William", -   , -   , -   ,"1,388","1,388", -
,"Strange, Jamie","8,512",413,"3,988","1,678","14,590", -
