Members Expense Disclosure - April to June 2016,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Subtotal  Parliamentary  Service,Inter Parliamentary - Office of the Clerk,
,,Wellington,Out of  Wellington,Air,Surface,,,
,,,,,,,,
Act,Seymour David, -   , -   , -   ," 1,388 "," 1,388 ", -   ,
Act Total,, -   , -   , -   ," 1,388 "," 1,388 ", -   ,
,,,,,,,,
Green,"Browning, Steffan"," 7,518 "," 3,690 "," 14,940 "," 9,521 "," 35,669 ", -   ,
,"Clendon, David"," 7,518 "," 2,602 "," 9,132 "," 6,436 "," 25,688 ", -   ,
,"Delahunty, Catherine"," 7,683 "," 1,602 "," 8,510 "," 9,483 "," 27,277 ", -   ,
,"Davidson, Marama"," 5,262 "," 1,292 "," 8,316 "," 5,273 "," 20,143 ", -   ,
,"Genter, Julie-Anne"," 4,511 ", 440 ," 8,157 "," 1,718 "," 14,825 ", -   ,
,"Graham,Kennedy"," 7,518 ", 983 ," 10,564 "," 7,822 "," 26,886 ", -   ,
,"Hague, Kevin"," 7,518 "," 2,086 "," 10,234 "," 4,329 "," 24,167 ", -   ,
,"Hughes, Gareth", - ," 1,258 "," 10,566 "," 3,362 "," 15,186 ", -   ,
,"Logie, Jan", - ," 3,290 "," 4,139 "," 7,628 "," 15,057 ", -   ,
,"Mathers, Mojo"," 7,518 ", 926 ," 5,288 "," 4,945 "," 18,677 ", -   ,
,"Roche, Denise"," 7,518 "," 1,240 "," 9,099 "," 8,909 "," 26,767 "," 17,126 ",
,"Sage, Eugenie"," 5,262 "," 1,083 "," 6,335 "," 5,514 "," 18,195 ", -   ,
,"Shaw, James", - ," 4,440 "," 10,896 "," 5,920 "," 21,256 ", -   ,
,"Turei,Metiria"," 7,518 "," 1,991 "," 7,777 "," 6,128 "," 23,413 ", -   ,
Green Total,," 75,343 "," 26,922 "," 123,953 "," 86,988 "," 313,207 "," 17,126 ",
,,,,,,,,
Labour,"Ardern, Jacinda"," 7,518 ", 354 ," 9,247 "," 5,992 "," 23,111 ", -   ,
,"Clark, David"," 5,262 ", 851 ," 8,269 "," 9,905 "," 24,287 "," 14,642 ",
,"Cosgrove, Clayton"," 3,538 "," 2,380 "," 13,511 "," 15,597 "," 35,026 ", -   ,
,"Cunliffe, David"," 7,518 ", 330 ," 9,448 "," 9,277 "," 26,573 ", -   ,
,"Curran, Clare"," 6,674 "," 1,566 "," 8,969 "," 9,696 "," 26,904 ", -   ,
,"Davis, Kelvin"," 7,518 "," 5,235 "," 13,543 "," 8,778 "," 35,074 ", -   ,
,"Dyson, Ruth"," 7,518 ", 419 ," 7,274 "," 4,377 "," 19,588 ", -   ,
,"Faafoi, Kris", -   , 701 ," 3,344 "," 9,703 "," 13,748 ", -   ,
,"Goff,Phil"," 3,800 ", 168 ," 5,291 "," 7,118 "," 16,377 ", -   ,
,"Henare, Peeni"," 7,765 "," 1,276 "," 7,175 "," 12,253 "," 28,468 ", -   ,
,"Hipkins, Chris", -   ," 1,170 "," 3,609 "," 5,108 "," 9,886 ", -   ,
,"King ,Annette", -   ," 2,019 "," 7,296 "," 8,284 "," 17,599 ", -   ,
,"Lees-Galloway, Iain"," 5,262 "," 1,836 "," 6,026 "," 4,813 "," 17,937 ", -   ,
,"Little, Andrew", -   ," 4,254 "," 28,917 "," 23,218 "," 56,389 ", -   ,
,"Mahuta, Nanaia"," 7,518 "," 4,567 "," 10,386 "," 7,835 "," 30,306 ", -   ,
,"Mallard,Trevor", -   , 452 ," 6,163 "," 9,599 "," 16,214 ", -   ,
,"Moroney, Sue"," 6,068 ", 546 ," 6,033 "," 2,180 "," 14,827 ", -   ,
,"Nash, Stuart"," 7,518 "," 1,526 "," 6,375 "," 9,129 "," 24,548 ", -   ,
,O'Connor Damien," 5,262 "," 2,081 "," 13,477 "," 14,909 "," 35,729 ", -   ,
,"Parker, David"," 5,262 ", 416 ," 14,477 "," 7,602 "," 27,759 ", -   ,
,"Robertson, Grant", -   ," 2,444 "," 8,636 "," 2,960 "," 14,040 ", -   ,
,"Rurawhe, Adrian"," 7,518 "," 4,383 "," 8,537 "," 9,347 "," 29,784 ", -   ,
,"Sepuloni, Carmel"," 5,262 ", 999 ," 9,949 "," 12,815 "," 29,025 ", -   ,
,"Shearer, David"," 3,965 ", 461 ," 9,431 "," 9,302 "," 23,159 ", -   ,
,Salesa Jenny," 2,809 ", 330 ," 6,673 "," 5,445 "," 15,257 ", -   ,
,"Sio Su'a, William"," 3,800 ", 165 ," 10,041 "," 7,691 "," 21,697 ", -   ,
,"Tirikatene, Rino"," 4,511 "," 1,568 "," 8,131 "," 7,446 "," 21,656 ", -   ,
,"Twyford, Phil"," 4,130 ", 752 ," 10,420 "," 10,145 "," 25,448 ", -   ,
,"Wall, Louisa"," 7,518 "," 1,505 "," 6,684 "," 8,495 "," 24,203 ", -   ,
,"Whaitiri, Meka"," 7,570 "," 5,886 "," 11,570 "," 14,756 "," 39,782 ", -   ,
,"Williams, Poto"," 7,518 "," 1,018 "," 11,065 "," 5,560 "," 25,160 "," 2,531 ",
,"Woods, Megan"," 7,518 "," 1,495 "," 8,262 "," 8,979 "," 26,254 ", -   ,
Labour Total,," 156,119 "," 53,154 "," 298,230 "," 288,314 "," 795,817 "," 17,173 ",
,,,,,,,,
Maori,"Flavell, Te Ururoa", - , - ," 3,216 ", - ," 3,216 ", -   ,
,"Fox, Marama"," 4,135 "," 5,007 "," 12,118 "," 11,519 "," 32,779 ", -   ,
Maori Total,," 4,135 "," 5,007 "," 15,334 "," 11,519 "," 35,995 ", -   ,
,,,,,,,,
National,"Adams, Amy", - , - , 312 , - , 312 , -   ,
,"Bakshi Kanwaljit ,Singh"," 7,518 ", 165 ," 8,159 "," 12,126 "," 27,968 ", -   ,
,"Barclay, Todd"," 7,518 "," 4,508 "," 10,244 "," 22,898 "," 45,167 ", -   ,
,"Barry, Maggie", - , - ," 1,662 ", - ," 1,662 ", -   ,
,"Bayly, Andrew"," 7,518 ", - ," 6,898 "," 5,332 "," 19,748 ", -   ,
,"Bennett, David"," 3,470 ", 135 ," 12,657 "," 8,078 "," 24,339 ", -   ,
,"Bennett, Paula", - , - , - , - , - , -   ,
,"Bishop, Chris", - , 743 ," 2,718 "," 7,464 "," 10,925 ", -   ,
,"Borrows, Chester"," 11,008 ", 560 ," 20,495 "," 7,366 "," 39,429 ", -   ,
,"Bridges, Simon", - , - , 973 , - , 973 , -   ,
,"Brownlee, Gerry", - , - , 503 , - , 503 , -   ,
,"Carter, David"," 11,008 ", 19 ," 5,273 ", 65 ," 16,365 "," 35,478 ",
,"Coleman, Jonathan", - , - , - , - , - , -   ,
,"Collins, Judith", - , - , 239 ," 4,572 "," 4,811 ", -   ,
,"Dean, Jacqui"," 7,518 ", 289 ," 6,043 "," 15,273 "," 29,122 "," 12,240 ",
,"Doocey, Matt"," 4,963 ", 984 ," 7,753 "," 9,854 "," 23,553 ", -   ,
,"Dowie, Sarah"," 5,262 ", 776 ," 18,185 "," 6,540 "," 30,763 ", -   ,
,"English, Bill", - , - ," 1,327 ", - ," 1,327 ", -   ,
,"Finlayson, Chris", - , - , - , - , - , -   ,
,"Foss, Craig", - , - , - , - , - , -   ,
,"Foster-Bell, Paul", - ," 3,964 "," 4,519 "," 6,567 "," 15,050 ", -   ,
,"Goldsmith, Paul", - , - , - , - , - , -   ,
,"Goodhew, Jo", - , - , 60 , - , 60 , -   ,
,"Guy, Nathan", - , - , 419 , - , 419 , -   ,
,"Hayes, Joanne"," 7,518 "," 2,652 "," 8,129 "," 7,798 "," 26,097 "," 2,483 ",
,"Hudson, Brett", - , 242 ," 2,890 "," 2,421 "," 5,552 ", -   ,
,"Joyce, Steven", - , - , - , - , - , -   ,
,"Kaye, Nikki", - , - , - , - , - , -   ,
,"Key, John", - , - , 296 , - , 296 , -   ,
,"Korako, Nuk"," 7,518 "," 1,461 "," 7,970 "," 14,695 "," 31,643 ", -   ,
,"Kuriger, Barbara"," 5,262 ", 338 ," 6,436 "," 10,435 "," 22,471 ", -   ,
,"Lee, Melissa"," 7,518 ", 160 ," 13,800 "," 8,575 "," 30,052 ", -   ,
,"Lotu-liga, Peseta Sam", - , - ," 2,592 ", - ," 2,592 ", -   ,
,"Macindoe, Tim"," 5,122 ", 412 ," 3,381 "," 6,614 "," 15,530 ", -   ,
,"McClay, Todd", - , - ," 1,702 ", - ," 1,702 ", -   ,
,"McCully, Murray", - , - , - , - , - , -   ,
,"McKelvie, Ian"," 7,518 "," 2,310 "," 5,824 "," 13,796 "," 29,448 ", -   ,
,"Mitchell, Mark"," 7,518 ", 135 ," 17,573 "," 9,235 "," 34,461 ", -   ,
,"Muller, Todd"," 5,023 "," 1,964 "," 8,085 "," 7,777 "," 22,848 "," 1,870 ",
,"Naylor, Jono"," 7,518 ", 688 ," 5,884 "," 4,980 "," 19,070 ", -   ,
,"Ngaro, Alfred"," 7,518 ", 650 ," 6,151 "," 20,296 "," 34,615 ", -   ,
,"O'Connor, Simon"," 7,518 ", 488 ," 3,922 "," 8,211 "," 20,139 ", -   ,
,"Parata, Hekia", - , - ," 1,409 ", - ," 1,409 ", -   ,
,"Parmar, Parmjeet"," 7,518 ", 49 ," 11,647 "," 10,172 "," 29,385 ", -   ,
,"Pugh, Maureen"," 9,630 "," 2,507 "," 7,944 "," 8,084 "," 28,165 ", -   ,
,"Reti, Shane"," 7,518 "," 2,353 "," 7,660 "," 9,804 "," 27,334 ", -   ,
,"Ross, Jami-Lee"," 5,262 ", 826 ," 7,514 "," 7,618 "," 21,220 ", -   ,
,"Scott, Alastair", - , 121 ," 2,275 "," 8,099 "," 10,495 ", -   ,
,"Smith, Stuart"," 7,661 ", 511 ," 20,416 "," 6,649 "," 35,238 ", -   ,
,"Smith, Nick", - , - ," 1,135 ", - ," 1,135 ", -   ,
,"Simpson, Scott"," 5,262 "," 1,583 "," 5,183 "," 13,858 "," 25,887 ", -   ,
,"Tisch, Lindsay", - ," 1,123 "," 5,731 "," 10,165 "," 17,019 ", -   ,
,"Tolley,Anne", - , - ," 1,315 ", - ," 1,315 ", -   ,
,"Upston, Louise", - , - ," 1,513 ", - ," 1,513 ", -   ,
,"Wagner, Nicky", - , - , 464 , - , 464 , -   ,
,"Williamson, Maurice"," 7,518 ", - ," 4,155 "," 8,090 "," 19,763 "," 16,402 ",
,"Woodhouse, Michael", - , - , - , - , - , -   ,
,"Yang, Jian"," 4,957 ", - ," 11,704 "," 7,369 "," 24,029 ", -   ,
,"Young, Jonathan"," 7,518 ", 705 ," 9,401 "," 8,545 "," 26,169 ", -   ,
National Total,," 204,175 "," 33,421 "," 302,538 "," 319,421 "," 859,555 "," 68,473 ",
,,,,,,,,
New Zealand First,"Ball, Darroch"," 8,769 ", 892 ," 7,272 "," 5,030 "," 21,963 ", -   ,
,"Bindra, Mahesh"," 5,262 ", 113 ," 4,764 "," 7,445 "," 17,584 "," 15,510 ",
,"Bond, Ria"," 7,114 "," 1,857 "," 11,677 "," 4,090 "," 24,738 ", -   ,
,"Mark, Ron"," 7,848 "," 1,000 "," 1,007 "," 17,227 "," 27,081 ", -   ,
,"Martin, Tracey"," 7,518 ", 935 ," 5,836 "," 9,096 "," 23,385 ", -   ,
,"Mitchell, Clayton"," 5,262 "," 1,353 "," 5,967 "," 5,632 "," 18,214 ", -   ,
,"O'Rourke, Denis"," 7,518 ", - ," 3,666 "," 5,136 "," 16,320 ", -   ,
,"Paraone, Pita"," 7,518 ", 675 ," 8,807 "," 4,540 "," 21,539 ", -   ,
,"Peters, Winston"," 7,518 ", 226 ," 20,757 "," 14,165 "," 42,667 ", -   ,
,"Prosser, Richard"," 7,518 ", 786 ," 8,474 "," 10,465 "," 27,243 ", -   ,
,"Stewart, Barbara"," 7,518 ", - ," 4,629 "," 11,461 "," 23,608 ", -   ,
,"Tabuteau, Fletcher"," 5,262 "," 1,632 "," 8,546 "," 7,338 "," 22,778 ", -   ,
New Zealand First Total,," 84,625 "," 9,468 "," 91,401 "," 101,626 "," 287,121 "," 15,510 ",
,,,,,,,,
United Future,"Dunne, Peter", - , - , - , - , - , -   ,
United Future Total,, - , - , - , - , - , -   ,
,,,,,,,,
Grand Total,," 524,398 "," 127,972 "," 831,456 "," 809,256 "," 2,293,082 "," 118,282 ",
"This disclosure period includes payments made to members after the annual review of mileage reimbursement rates for parliamentary travel undertaken in a personal vehicle. As per the Speakers Directions, these rates of reimbursement are set by the New Zealand Automobile Association (Speakers Directions 14 (2))",,,,,,,,
