Members Expense Disclosure - April to June 2017,,,,,,,
Party,Member,Accommodation,,Travel,,Subtotal Parliamentary Service,Inter- Parliamentary - Office of the Clerk  
,,Wellington,Non Wellington,Air,Surface,,
ACT Total,"Seymour, David ", -   , -   , -   ,520,520, -   
ACT Total,, -   , -   , -   ,520,520, -   
,,,,,,,
Green,"Browning, Steffan ","7,518",897,"8,461","2,959","19,835", -   
,"Clendon, David ","7,518","1,391","9,084","3,441","21,433", -   
,"Coates, Barry ","3,660", - ,"5,405","3,321","12,386", -   
,"Davidson, Marama ","7,518",990,"7,411","5,981","21,899", -   
,"Delahunty, Catherine ","5,262","1,331","9,782","5,640","22,016", -   
,"Genter, Julie-Anne ","5,262",469,"6,975","1,957","14,663", -   
,"Graham, Kennedy ","7,518",234,"4,883","5,677","18,311", -   
,"Hughes, Gareth ", - ,532,"7,067","2,640","10,239", -   
,"Logie, Jan ", - ,"1,239","4,297","5,934","11,470", -   
,"Mathers, Mojo ","7,518",739,"7,780","5,301","21,337", -   
,"Roche, Denise ","7,518","2,205","13,432","8,797","31,952", -   
,"Sage, Eugenie ","5,262","1,688","8,729","7,161","22,840", -   
,"Shaw, James ", - ,"3,898","7,988","7,590","19,476", -   
,"Turei, Metiria ","7,134","1,638","7,271","5,010","21,052", -   
Green Total,,"71,688","17,250","108,564","71,409","268,911", -   
,,,,,,,
Labour,"Ardern, Jacinda ","7,518",767,"11,774","6,991","27,050", -   
,"Clark, David ","5,262",785,"9,618","9,517","25,182", -   
,"Cosgrove, Clayton ","2,739",965,"9,646","7,245","20,595","3,485"
,"Cunliffe, David ","2,685", -   ,"3,406","2,460","8,551", -   
,"Curran, Clare ","7,518",183,"6,758","6,476","20,935", -   
,"Davis, Kelvin ","7,518","3,232","12,486","8,392","31,628","12,442"
,"Dyson, Ruth ","7,518",108,"7,559","12,040","27,225", -   
,"Faafoi, Kris ", -   ,-292,"1,129","7,242","8,079", -   
,"Henare, Peeni ","4,435",-205,"7,035","9,325","20,591", -   
,"Hipkins, Chris ", -   ,923,"3,045","9,274","13,242", -   
,"Huo, Raymond ","3,805", -   ,"6,959","3,713","14,477", -   
,"King, Annette ", -   ,800,"3,926","4,881","9,608", -   
,"Lees-Galloway, Iain ","5,262",330,"2,490","2,906","10,989", -   
,"Little, Andrew ", -   ,"4,424","6,610","37,374","48,409", -   
,"Mahuta, Nanaia ","7,518",648,"8,786","3,235","20,186", -   
,"Mallard, Trevor ", -   ,421,"6,623","5,147","12,191", -   
,"Moroney, Sue ","7,518",179,"5,629","8,217","21,543", -   
,"Nash, Stuart ","7,518",270,"7,348","9,510","24,646", -   
,"O'Connor, Damien ","5,262","1,697","11,403","13,214","31,577", -   
,"Parker, David ","5,262", -   ,"16,889","6,284","28,435", -   
,"Robertson, Grant ", -   ,964,"3,898","2,261","7,123", -   
,"Rurawhe, Adrian ","7,518","1,841","3,482","7,649","20,490", -   
,"Sepuloni, Carmel ","5,262",337,"8,821","7,287","21,707",871
,"Salesa, Jenny ","7,081",144,"8,665","6,527","22,417", -   
,"Sio Aupito, William ","4,136",94,"7,298","7,111","18,638", -   
,"Tirikatene, Rino ","4,511",881,"5,089","5,942","16,423", -   
,"Twyford, Phil ","3,635",150,"7,060","12,517","23,362", -   
,"Wall, Louisa ","7,518",426,"6,921","6,554","21,419",157
,"Whaitiri, Meka ","4,800","2,113","9,090","6,790","22,793", -   
,"Williams, Poto ","7,518",493,"14,062","5,137","27,210",816
,"Wood, Michael ","7,518", -   ,"6,562","3,705","17,784", -   
,"Woods, Megan ","7,518",252,"7,003","6,513","21,286", -   
Labour Total,,"154,352","22,930","237,071","251,438","665,790","17,771"
,,,,,,,
Maori,"Flavell, Te Ururoa ", - , - ,"2,803", - ,"2,803",
