Members Expense Disclosure - January to March 2016,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Subtotal  Parliamentary  Service,Inter Parliamentary - Office of the Clerk,
,,Wellington,Non Wellington,Air,Surface,,,
,,,,,,,,
Act," Seymour, David ", - , - , - , 655 , 655 , - ,
Act Total,, - , - , - , 655 , 655 , - ,
,,,,,,,,
Green,"  Browning, Steffan  "," 6,444 "," 1,524 "," 6,660 "," 1,175 "," 15,803 ", - ,
,"  Clendon, David  "," 6,444 ", 261 ," 5,845 "," 1,992 "," 14,542 ", - ,
,"  Delahunty, Catherine  "," 6,955 "," 1,143 "," 6,932 "," 4,895 "," 19,926 ", - ,
,"  Davidson, Marama  "," 4,511 ", 375 ," 5,646 "," 2,681 "," 13,212 ", - ,
,"  Genter, Julie-Anne  "," 3,866 ", 252 ," 6,389 ", 958 ," 11,466 ", - ,
,"  Graham, Kennedy  "," 6,444 ", 901 ," 8,009 "," 2,713 "," 18,066 ", - ,
,"  Hague, Kevin  "," 6,444 ", 581 ," 8,531 "," 1,094 "," 16,651 ", - ,
,"  Hughes, Gareth  ", - , 148 ," 4,223 "," 2,258 "," 6,628 ","8,922",
,"  Logie, Jan  ", - ," 1,090 "," 4,377 "," 3,068 "," 8,535 ", - ,
,"  Mathers, Mojo  "," 6,444 ", 537 ," 6,173 "," 2,429 "," 15,582 ","1,247",
,"  Roche, Denise  "," 6,444 "," 1,310 "," 5,888 "," 1,964 "," 15,606 ", - ,
,"  Sage, Eugenie  "," 4,511 ", 429 ," 6,038 "," 2,054 "," 13,032 ", - ,
,"  Shaw, James  ", - ," 1,921 "," 5,719 "," 3,437 "," 11,077 ", - ,
,"  T?rei, Metiria  "," 6,444 ", 990 ," 10,426 "," 5,151 "," 23,011 ", - ,
Green Total,," 64,949 "," 11,462 "," 90,856 "," 35,869 "," 203,135 "," 10,169 ",
,,,,,,,,
Labour,"  Ardern, Jacinda  "," 6,444 ", 769 ," 5,743 "," 3,267 "," 16,222 ", - ,
,"  Clark, David  "," 4,511 ", 713 ," 10,613 "," 2,854 "," 18,690 ", - ,
,"  Cosgrove, Clayton  "," 1,558 "," 1,639 "," 14,008 "," 3,091 "," 20,296 ", - ,
,"  Cunliffe, David  "," 6,444 ", 600 ," 7,058 "," 6,512 "," 20,613 ", - ,
,"  Curran, Clare  "," 6,444 ", 296 ," 5,472 "," 1,178 "," 13,389 ", - ,
,"  Davis, Kelvin  "," 6,444 "," 2,512 "," 8,865 "," 6,194 "," 24,016 ", - ,
,"  Dyson, Ruth  "," 6,444 ", 277 ," 6,352 "," 3,829 "," 16,903 ","1,187",
,"  Faafoi, Kris  ", - ," 1,043 "," 2,353 "," 6,654 "," 10,050 ","1,190",
,"  Goff, Phil  "," 2,809 ", 724 ," 4,087 "," 7,110 "," 14,729 ", - ,
,"  Henare, Peeni  ", - , 165 ," 3,646 "," 7,827 "," 11,638 ", - ,
,"  Hipkins, Chris  ", - ," 1,219 "," 5,219 "," 4,909 "," 11,348 ", - ,
,"  King, Annette  ", - ," 1,174 "," 4,045 "," 3,518 "," 8,737 ","11,840",
,"  Lees-Galloway, Iain  "," 4,511 ", 49 ," 1,536 "," 1,833 "," 7,929 ", - ,
,"  Little, Andrew  ", - ," 6,735 "," 15,281 "," 13,993 "," 36,009 ", - ,
,"  Mahuta, Nanaia  "," 6,444 "," 3,051 "," 6,128 "," 4,534 "," 20,157 ", - ,
,"  Mallard, Trevor  ", - , 281 ," 5,160 "," 5,664 "," 11,105 ", - ,
,"  Moroney, Sue  "," 4,511 ", - ," 4,974 "," 1,553 "," 11,037 ", - ,
,"  Nash, Stuart  "," 6,444 ", 723 ," 4,588 "," 4,318 "," 16,073 ", - ,
,"  O'Connor, Damien  "," 6,989 "," 1,363 "," 5,095 "," 5,495 "," 18,942 ", - ,
,"  Parker, David  "," 4,511 ", 122 ," 10,319 "," 2,729 "," 17,680 ", - ,
,"  Robertson, Grant  ", - ," 1,118 "," 4,581 "," 1,605 "," 7,304 ", - ,
,"  Rurawhe, Adrian  "," 6,444 "," 1,940 "," 4,497 "," 5,929 "," 18,810 ", - ,
,"  Sepuloni, Carmel  "," 4,511 ", - ," 6,101 ", 635 ," 11,247 ", - ,
,"  Shearer, David  "," 1,487 ", 330 ," 4,687 "," 4,075 "," 10,579 ", - ,
,"  Salesa, Jenny  "," 3,100 ", 320 ," 7,494 "," 4,688 "," 15,601 ", - ,
,"  Sio Su'a, William  ", 826 , 165 ," 10,358 "," 3,968 "," 15,317 ", - ,
,"  Tirikatene, Rino  "," 3,866 ", 148 ," 5,559 "," 3,638 "," 13,212 ", - ,
,"  Twyford, Phil  ", 816 , 797 ," 4,717 "," 5,864 "," 12,194 ", - ,
,"  Wall, Louisa  "," 6,444 ", - ," 2,371 "," 3,903 "," 12,718 ", - ,
,"  Whaitiri, Meka  ", 470 ," 1,535 "," 14,361 "," 3,990 "," 20,357 ", - ,
,"  Williams, Poto  "," 6,444 ", 536 ," 6,638 "," 4,279 "," 17,898 ", - ,
,"  Woods, Megan  "," 6,444 ", - ," 5,689 "," 1,288 "," 13,421 ","9,138",
Labour Total,," 115,356 "," 30,345 "," 207,592 "," 140,926 "," 494,218 "," 23,355 ",
,,,,,,,,
Maori,"  Flavell, Te Ururoa  ", - , - ," 1,505 ", - ," 1,505 ", - ,
,"  Fox, Marama  "," 3,651 "," 4,074 "," 9,536 "," 5,704 "," 22,964 ", - ,
Maori Total,," 3,651 "," 4,074 "," 11,041 "," 5,704 "," 24,469 ", - ,
,,,,,,,,
National,"  Adams, Amy  ", - , - ," 1,664 ", - ," 1,664 ", - ,
,"  Bakshi, Kanwaljit Singh  "," 6,444 ", - ," 12,042 "," 2,864 "," 21,350 ", - ,
,"  Barclay, Todd  "," 6,444 ", 994 ," 8,467 "," 3,174 "," 19,079 ", - ,
,"  Barry, Maggie  ", - , - ," 3,396 ", - ," 3,396 ", - ,
,"  Bayly, Andrew  "," 6,444 ", - ," 4,677 "," 4,510 "," 15,631 ","11,716",
,"  Bennett, David  "," 1,157 ", - ," 3,557 "," 1,556 "," 6,270 ", - ,
,"  Bennett, Paula  ", - , - , - , - , - , - ,
,"  Bishop, Chris  ", - , - ," 2,547 "," 3,672 "," 6,219 ", - ,
