Members Expense Disclosure - October to December 2016,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter parliamentary - Office of the Clerk,
,,Wellington,Non Wellington,Air,Surface,,,
,,,,,,, -   ,
Act, Seymour David , -   , -   , -   ,-0 ,-0 ,,
Act Total,, -   , -   , -   ,-0 ,-0 ,,
,,,,,,, -   ,
Green, Browning Steffan ," 7,518 "," 1,458 "," 10,385 "," 4,460 "," 23,820 ",,
, Clendon David ," 7,518 ", 493 ," 5,406 "," 2,098 "," 15,514 ","12,306 ",
, Coates Barry ," 2,844 ", 62 ," 8,020 "," 1,357 "," 12,283 ", - ,
, Davidson Marama ," 7,518 "," 1,653 "," 11,241 "," 4,624 "," 25,036 ", - ,
, Delahunty Catherine ," 5,262 ", 738 ," 5,338 "," 3,762 "," 15,100 ", - ,
, Genter Julie-Anne ," 5,262 ", 389 ," 7,055 "," 1,872 "," 14,579 ", - ,
, Graham Kennedy ," 7,518 ", - ," 20,465 "," 2,308 "," 30,291 ", - ,
, Hague Kevin ," 2,992 ", - , - , 420 ," 3,412 ", - ,
, Hughes Gareth , - , 753 ," 8,195 "," 2,240 "," 11,188 ", - ,
, Logie Jan , 147 ," 1,101 "," 5,948 "," 5,401 "," 12,596 ","11,141 ",
, Mathers Mojo ," 7,518 ", 140 ," 7,309 "," 6,062 "," 21,029 ", - ,
, Roche Denise ," 7,518 "," 1,447 "," 8,881 "," 5,721 "," 23,567 ", - ,
, Sage Eugenie ," 5,262 ", 446 ," 6,316 "," 3,571 "," 15,596 ","3,426 ",
, Shaw James , - ," 3,231 "," 9,281 "," 4,230 "," 16,742 ", - ,
, Turei Metiria ," 7,518 "," 1,983 "," 8,962 "," 3,519 "," 21,982 ", - ,
Green Total,," 74,395 "," 13,895 "," 122,802 "," 51,644 "," 262,735 ","26,873 ",
,,,,,,,,
Labour, Ardern Jacinda ," 7,518 ", -   ," 6,869 "," 3,130 "," 17,517 ", - ,
, Clark David ," 5,262 ", 529 ," 8,729 "," 4,483 "," 19,002 ", - ,
, Cosgrove Clayton ," 2,259 "," 1,669 "," 13,692 "," 6,198 "," 23,819 ", - ,
, Cunliffe David ," 7,518 ", -   ," 8,200 "," 4,879 "," 20,597 ", - ,
, Curran Clare ," 3,975 ", 897 ," 7,273 "," 4,047 "," 16,193 ","2,324 ",
, Davis Kelvin ," 7,518 "," 2,965 "," 6,234 "," 5,235 "," 21,953 ","11,204 ",
, Dyson Ruth ," 7,518 ", 487 ," 8,887 "," 6,366 "," 23,258 ", - ,
, Faafoi Kris , -   , 763 ," 5,012 "," 7,404 "," 13,179 ","4,150 ",
, Goff Phil , 251 , -   ," 1,169 ", 507 ," 1,928 ", - ,
, Henare Peeni ," 4,296 ", 625 ," 8,995 "," 8,340 "," 22,256 ", - ,
, Hipkins Chris , -   , -   , 503 ," 4,830 "," 5,333 ", - ,
, King Annette , -   ," 1,698 "," 4,789 "," 2,878 "," 9,366 ","11,894 ",
, Lees-Galloway Iain ," 5,262 ", 793 ," 2,809 "," 2,373 "," 11,237 ", - ,
, Little Andrew , -   ," 3,587 "," 28,653 "," 25,816 "," 58,056 ", - ,
, Mahuta Nanaia ," 7,518 "," 2,893 "," 9,374 "," 5,083 "," 24,867 ", - ,
, Mallard Trevor , -   , 148 ," 6,580 "," 5,520 "," 12,248 ", - ,
, Moroney Sue ," 7,518 ", 723 ," 4,953 "," 3,473 "," 16,667 ", - ,
, Nash Stuart ," 7,518 ", 378 ," 7,718 "," 5,365 "," 20,978 ","8,083 ",
, O'Connor Damien ," 5,262 ", 671 ," 14,558 "," 8,780 "," 29,272 ", - ,
, Parker David ," 5,262 ", 337 ," 11,530 "," 6,424 "," 23,554 ", - ,
, Robertson Grant , -   ," 1,618 "," 6,342 "," 1,865 "," 9,825 ", - ,
, Rurawhe Adrian ," 7,518 "," 2,126 "," 7,792 "," 6,262 "," 23,697 ", - ,
, Sepuloni Carmel ," 5,262 ", 330 ," 7,581 "," 4,741 "," 17,914 ", - ,
, Shearer David ," 2,974 ", -   ," 4,667 "," 3,493 "," 11,134 ", - ,
, Salesa Jenny ," 1,652 "," 2,224 "," 3,979 "," 5,117 "," 12,971 ","10,978 ",
, Sio Su'a William ," 1,817 ",-304 ," 5,993 "," 5,721 "," 13,228 ", - ,
, Tirikatene Rino ," 4,511 ", 851 ," 9,801 "," 6,572 "," 21,734 ", - ,
, Twyford Phil ," 2,974 ", 255 ," 7,840 "," 8,760 "," 19,829 ", - ,
, Wall Louisa ," 7,518 ", 799 ," 5,253 "," 6,163 "," 19,733 ", - ,
, Whaitiri Meka ," 5,173 "," 1,543 "," 6,261 "," 5,327 "," 18,305 ", - ,
, Williams Poto ," 7,518 ", 700 ," 9,504 "," 3,802 "," 21,523 ","10,239 ",
, Wood Michael , 330 , -   ," 1,000 ", 99 ," 1,429 ", - ,
, Woods Megan ," 7,518 ", 732 ," 8,384 "," 6,194 "," 22,828 ", - ,
Labour Total,," 139,221 "," 30,038 "," 250,922 "," 185,248 "," 605,429 ","58,872 ",
,,,,,,,,
Maori, Flavell Te Ururoa , - , - ," 1,666 ", - ," 1,666 ", - ,
, Fox Marama ," 4,177 "," 3,775 "," 9,821 "," 8,572 "," 26,345 ", - ,
Maori Total,," 4,177 "," 3,775 "," 11,487 "," 8,572 "," 28,011 ", - ,
,,,,,,,,
National, Adams Amy , - , - , 750 , - , 750 , - ,
, Bakshi Kanwaljit Singh ," 7,518 ", - ," 5,437 "," 7,198 "," 20,153 ", - ,
, Barclay Todd ," 7,518 "," 1,571 "," 9,468 "," 11,880 "," 30,436 ", - ,
, Barry Maggie , - , - , 926 , - , 926 , - ,
, Bayly Andrew ," 7,518 ", 104 ," 6,566 "," 7,200 "," 21,389 ", - ,
, Bennett David ," 3,304 ", 302 ," 5,652 "," 3,590 "," 12,849 ", - ,
, Bennett Paula , - , - , 417 , - , 417 , - ,
, Bishop Chris , - , 279 ," 1,479 "," 5,871 "," 7,629 ", - ,
, Borrows Chester ," 11,008 ", - ," 4,070 "," 4,559 "," 19,637 ","1,542 ",
, Bridges Simon , - , - , - , - , - , - ,
, Brownlee Gerry , - , - ," 2,912 ", - ," 2,912 ", - ,
, Carter David ," 11,008 ", - ," 4,570 ", 215 ," 15,793 ","11,570 ",
