Members Expense Disclosure - January to March 2017,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Subtotal Parliamentary Service,Inter parliamentary - Office of the Clerk,
,,Wellington,Non Wellington,Air,Surface,,,
,,,,,,,,
Act," Seymour, David ", -   , -   , -   , -   , -   , - ,
Act Total,, -   , -   , -   , -   , -   , - ,
,,,,,,,,
Green," Browning, Steffan "," 6,444 "," 1,402 "," 7,664 "," 4,726 "," 20,236 ", - ,
," Clendon, David "," 6,444 ", 569 ," 6,713 "," 1,962 "," 15,687 ", - ,
," Coates, Barry "," 2,724 ", 798 ," 8,266 "," 2,780 "," 14,568 ", - ,
," Davidson, Marama "," 6,444 "," 1,396 "," 4,091 "," 3,570 "," 15,501 ", - ,
," Delahunty, Catherine "," 4,511 "," 1,497 "," 5,798 "," 2,469 "," 14,276 ", - ,
," Genter, Julie-Anne "," 4,511 ", 548 ," 4,894 "," 1,647 "," 11,600 ", - ,
," Graham, Kennedy "," 6,444 "," 1,088 "," 16,008 "," 4,025 "," 27,564 ", - ,
," Hague, Kevin ", - , 259 , - , - , 259 , - ,
," Hughes, Gareth ", - ," 1,355 "," 6,694 "," 1,844 "," 9,893 ", - ,
," Logie, Jan ", - ," 2,126 "," 6,111 "," 3,904 "," 12,141 ", - ,
," Mathers, Mojo "," 6,444 ", 854 ," 6,862 "," 4,191 "," 18,351 ", - ,
," Roche, Denise "," 6,444 "," 3,794 "," 9,232 "," 4,130 "," 23,599 ", - ,
," Sage, Eugenie "," 4,511 ", 843 ," 7,700 "," 2,542 "," 15,596 ", - ,
," Shaw, James ", - ," 3,442 "," 6,786 "," 3,761 "," 13,989 ", - ,
," Turei, Metiria "," 4,520 "," 3,292 "," 24,752 "," 5,291 "," 37,854 ", - ,
Green Total,," 59,439 "," 23,263 "," 121,570 "," 46,841 "," 251,114 ", - ,
,,,,,,, - ,
Labour," Ardern, Jacinda "," 6,444 ", 296 ," 3,326 "," 2,739 "," 12,805 ", - ,
," Clark, David "," 4,511 ", 483 ," 5,669 "," 3,661 "," 14,323 ", - ,
," Cosgrove, Clayton "," 1,452 "," 1,470 "," 8,344 "," 6,427 "," 17,693 ", - ,
," Cunliffe, David "," 6,444 ", 296 ," 4,065 "," 4,513 "," 15,318 ", - ,
," Curran, Clare "," 6,444 ", 246 ," 7,135 "," 2,035 "," 15,861 ", - ,
," Davis, Kelvin "," 6,444 "," 1,983 "," 6,022 "," 7,326 "," 21,775 ", - ,
," Dyson, Ruth "," 6,444 ", 539 ," 4,481 "," 2,424 "," 13,888 ", - ,
," Faafoi, Kris ", -   ," 1,008 "," 5,261 "," 5,891 "," 12,161 ", - ,
," Henare, Peeni "," 2,339 "," 1,552 "," 3,871 "," 6,534 "," 14,297 ", - ,
," Hipkins, Chris ", -   , 330 ," 2,101 ", 612 ," 3,044 ", - ,
," Huo, Raymond ", 330 , -   ," 1,854 ", 452 ," 2,636 ", - ,
," King, Annette ", -   , 823 ," 3,494 "," 2,387 "," 6,704 "," 11,672 ",
," Lees-Galloway, Iain "," 4,511 ", 203 ," 4,343 "," 2,350 "," 11,406 ", - ,
," Little, Andrew ", -   ," 4,941 "," 2,799 "," 20,843 "," 28,583 ", - ,
," Mahuta, Nanaia "," 6,444 "," 1,855 "," 5,028 "," 3,874 "," 17,201 ", - ,
," Mallard, Trevor ", -   , 400 ," 8,639 "," 7,115 "," 16,154 ", - ,
," Moroney, Sue "," 6,444 ", 745 ," 6,129 "," 1,511 "," 14,829 ", - ,
," Nash, Stuart "," 6,444 ", 957 ," 5,680 "," 3,251 "," 16,332 ", - ,
," O'Connor, Damien "," 4,511 "," 1,520 "," 7,022 "," 7,932 "," 20,984 ", - ,
," Parker, David "," 4,511 ", 476 ," 9,832 "," 4,710 "," 19,529 ", - ,
," Robertson, Grant ", -   ," 1,408 "," 5,094 "," 1,656 "," 8,158 ", - ,
," Rurawhe, Adrian "," 6,444 "," 1,206 "," 1,763 "," 5,135 "," 14,548 ", - ,
," Sepuloni, Carmel "," 4,511 ", 398 ," 6,628 "," 10,879 "," 22,416 "," 4,765 ",
," Shearer, David ", -   , 330 , -   ," 3,492 "," 3,823 ", - ,
," Salesa, Jenny "," 1,487 ","-1,615 "," 7,428 "," 2,925 "," 10,224 ", - ,
," Sio Aupito, William "," 1,490 "," 1,188 "," 6,881 "," 4,988 "," 14,547 ", - ,
," Tirikatene, Rino "," 4,258 "," 1,276 "," 10,380 "," 6,557 "," 22,470 ", - ,
," Twyford, Phil "," 2,313 ", 235 ," 7,073 "," 4,675 "," 14,296 ", - ,
," Wall, Louisa "," 6,444 ", 309 ," 5,589 "," 5,772 "," 18,114 "," 1,246 ",
," Whaitiri, Meka "," 4,386 "," 1,965 "," 4,608 "," 4,754 "," 15,712 ", - ,
," Williams, Poto "," 6,444 "," 1,008 "," 11,278 "," 4,062 "," 22,793 "," 9,906 ",
," Wood, Michael "," 5,676 ", 330 ," 4,838 "," 1,165 "," 12,009 ", - ,
," Woods, Megan "," 6,444 ", 77 ," 7,149 "," 5,167 "," 18,837 ", - ,
Labour Total,," 123,609 "," 28,240 "," 183,806 "," 157,815 "," 493,471 "," 27,589 ",
,,,,,,,,
Maori," Flavell, Te Ururoa ", - , - , 297 , - , 297 , - ,
," Fox, Marama "," 4,388 "," 3,532 "," 3,941 "," 9,795 "," 21,657 "," 6,463 ",
Maori Total,," 4,388 "," 3,532 "," 4,238 "," 9,795 "," 21,954 "," 6,463 ",
,,,,,,,,
National," Adams, Amy ", - , - , 373 , - , 373 , - ,
," Bakshi, Kanwaljit Singh "," 6,444 ", 222 ," 6,537 "," 2,751 "," 15,953 ", - ,
," Barclay, Todd "," 6,444 "," 1,618 "," 8,280 "," 11,102 "," 27,443 ", - ,
," Barry, Maggie ", - , - , 837 , - , 837 , - ,
," Bayly, Andrew "," 6,444 ", 322 ," 4,864 "," 4,526 "," 16,155 ", - ,
," Bennett, David ", - , - , - , 41 , 41 , - ,
," Bennett, Paula ", - , - , - , - , - , - ,
," Bishop, Chris ", - , 621 ," 2,181 "," 3,166 "," 5,968 "," 1,099 ",
," Borrows, Chester "," 9,436 ", - ," 4,551 "," 5,832 "," 19,819 ", - ,
," Bridges, Simon ", - , - ," 1,087 ", - ," 1,087 ", - ,
