"Members Expense Disclosure - 1 October to 31 December 2017 
The expenses shown in the attached table were paid by the Parliamentary Service (air, surface travel, Wellington accommodation and non-Wellington accommodation) and the Office of the Clerk (inter-parliamentary travel) between 1 October to 31 December 2017.",,,,,,,
Party,Member,Accommodation,,Travel,,Subtotal Parliamentary Service,Inter-Parliamentary - Office of the Clerk
,,Wellington,Non Wellington,Air,Surface,,
,,,,,,, -
Act," Seymour, David ","4,088",204,"4,637",1,"8,931", -
Act Total,,"4,088",204,"4,637",1,"8,931", -
,,,,,,, -
Green," Davidson, Marama ","8,274","1,833","10,191","2,870","23,168", -
,"Gharahman, Golriz",400,75,"8,974",239,"9,688", -
,"Genter, Julie-Anne","2,505",151,"2,794","1,095","6,545", -
,"Hughes, Gareth", - ,151,"1,453",245,"1,849", -
,"Logie, Jan", - ,151,428,697,"1,276", -
,"Sage, Eugenie","2,225",151,"1,249",747,"4,371", -
,"Shaw, James", - ,776,"1,729","3,325","5,829", -
,"Swarbrick, Chloe","5,384",323,"9,367","2,087","17,161", -
Green Total,,"18,787","3,610","36,185","11,305","69,887", -
,,,,,,, -
Labour,"Allan, Kiri","6,526", -   ,"16,235",244,"23,004", -
,"Andersen, Ginny", -   , -   ,312,99,411, -
,"Ardern, Jacinda (1)(2)","3,178", -   ,"2,400","30,790","36,368", -
,"Clark, David","2,225", -   ,"1,675","1,833","5,732", -
,"Coffey, Tamati","1,496", -   ,"6,530",481,"8,507", -
,"Craig, Liz","5,181", -   ,"7,357",184,"12,722", -
,"Curran, Clare","3,178",486,"3,703","4,527","11,895", -
,"Davis, Kelvin","2,918","1,257","4,422","1,805","10,402", -
,"Dyson, Ruth","8,274", -   ,"12,658",114,"21,046", -
,"Eagle, Paul", -   , -   ,"4,865",295,"5,160", -
,"Faafoi, Kris", -   , -   , -   ,"1,006","1,006", -
,"Henare, Peeni",717, -   ,"1,748",114,"2,578","15,811"
,"Hipkins, Chris", -   ,675,672,"2,307","3,655", -
,"Huo, Raymond","1,005", -   ,"7,336","4,989","13,330", -
,"Jackson, Willie","1,791",270,"5,149","1,297","8,507", -
,"Kanongata'a-Suisuiki, Anahila","2,874",159,"10,557","1,865","15,455", -
,"Lees-Galloway, Iain","2,225",155,632,"1,047","4,058", -
,"Little, Andrew (3)", -   ,195,"1,310","7,229","8,734", -
,"Lubeck, Marja","1,338", -   ,"10,033","1,510","12,881", -
,"Luxton, Jo","6,897", -   ,"9,483",824,"17,204", -
,"McAnulty, Kieran","4,984", -   ,999,969,"6,952", -
,"Mahuta, Nanaia","3,178",962,"3,406","2,091","9,636", -
,"Mallard, Trevor", -   ,186,"4,417","1,359","5,962", -
,"Nash, Stuart","3,178", -   ,"2,356","1,750","7,284", -
,"O'Connor, Greg", -   , -   , -   ,212,212, -
,"O'Connor, Damien","2,225", -   ,"2,351","1,571","6,147", -
,"Parker, David","2,225", -   ,"3,917","3,153","9,294", -
,"Prime, Willow-Jean","5,247", -   ,"14,371",138,"19,755", -
,"RadhaKrishnan, Priyanca",855, -   ,"8,110","1,797","10,762",36
,"Robertson, Grant", -   ,199,248,"1,223","1,670", -
,"Russell, Deborah","6,223", -   ,"13,003",582,"19,808", -
,"Rurawhe, Adrian","6,311",852,"3,907","6,167","17,237","13,427"
,"Sepuloni, Carmel","2,225", -   ,"3,201","2,120","7,546", -
,"Salesa, Jenny","3,178",191,"6,997","3,819","14,186", -
,"Sio, Aupito William","1,405", -   ,"2,100","3,812","7,317", -
,"Strange, Jamie","3,065", -   ,"12,345","1,160","16,570", -
,"Tinetti, Jan","7,729", -   ,"9,305","1,516","18,550", -
,"Tirikatene, Rino","4,964","1,105","5,415","5,031","16,516", -
,"Twyford, Phil",165, -   ,"1,450","5,480","7,095", -
,"Wall, Louisa","8,274",300,"8,146","2,762","19,482", -
,"Warren-Clarke, Angie","4,269",231,"9,039","1,627","15,166", -
