Members Expense Disclosure - July to September 2016,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Subtotal Parliamentary Service,Inter Parliamentary - Office of the Clerk,
,,Wellington,Out of Wellington,Air,Surface,,,
,,,,,,,,
Act, Seymour David , -   , -   , -   ," 1,406 "," 1,406 ", -   ,
Act Total,, -   , -   , -   ," 1,406 "," 1,406 ", -   ,
,,,,,,,,
Green, Browning Steffan * ," 6,444 "," 1,040 "," 11,099 "," 2,258 "," 20,841 ", -   ,
, Clendon David * ," 6,444 "," 1,190 "," 12,464 "," 2,089 "," 22,187 ", -   ,
, Delahunty Catherine ," 6,444 "," 1,117 "," 5,734 "," 3,901 "," 17,196 ", -   ,
, Davidson Marama ," 4,615 ", 599 ," 7,838 "," 2,670 "," 15,721 ", -   ,
, Genter Julie-Anne ," 4,004 ", 807 ," 5,480 "," 1,378 "," 11,670 ", -   ,
, Graham Kennedy ," 6,444 ", 384 ," 3,089 "," 1,668 "," 11,585 ", -   ,
, Hague Kevin ," 6,444 "," 1,443 "," 8,200 "," 2,920 "," 19,006 ", -   ,
, Hughes Gareth * , - , 571 ," 5,787 "," 1,356 "," 7,714 ", -   ,
, Logie Jan , - ," 2,108 "," 7,714 "," 2,135 "," 11,957 ", -   ,
, Mathers Mojo ," 6,444 ", 987 ," 6,896 "," 1,294 "," 15,621 ", -   ,
, Roche Denise ," 6,444 "," 2,124 "," 9,241 "," 4,762 "," 22,571 ", -   ,
, Sage Eugenie ," 4,511 ", 491 ," 8,030 "," 1,631 "," 14,662 ", -   ,
, Shaw James * , - ," 2,994 "," 11,930 "," 2,524 "," 17,447 ", -   ,
, Turei Metiria ," 6,444 "," 1,899 "," 7,355 "," 3,846 "," 19,544 ", -   ,
Green Total,," 64,681 "," 17,753 "," 110,858 "," 34,432 "," 227,723 ", -   ,
,,,,,,,,
Labour, Ardern Jacinda ," 6,444 ", 100 ," 8,155 "," 3,617 "," 18,316 ", -   ,
, Clark David ," 4,511 ", 674 ," 6,517 "," 2,498 "," 14,199 ", -   ,
, Cosgrove Clayton ," 1,271 "," 1,332 "," 10,676 "," 6,396 "," 19,674 ", -   ,
, Cunliffe David * ," 6,444 ", -   ," 17,249 "," 6,742 "," 30,435 ", -   ,
, Curran Clare ," 3,336 ", 330 ," 8,204 "," 2,584 "," 14,453 ", -   ,
, Davis Kelvin ," 6,444 "," 3,972 "," 9,288 "," 6,190 "," 25,894 ", -   ,
, Dyson Ruth ," 6,444 ", 321 ," 8,836 "," 5,535 "," 21,135 ", -   ,
, Faafoi Kris , -   ," 1,487 "," 3,402 "," 7,092 "," 11,981 ", -   ,
, Goff Phil ," 1,731 ", 0 ," 3,777 "," 5,360 "," 10,869 ", -   ,
, Henare Peeni ," 4,130 "," 1,202 "," 9,088 "," 11,285 "," 25,706 ", -   ,
, Hipkins Chris , -   , 559 ," 2,677 "," 7,729 "," 10,965 ", -   ,
, King Annette , -   ," 1,039 "," 6,472 "," 3,048 "," 10,559 ", -   ,
, Lees-Galloway Iain ," 4,511 ", 257 ," 2,938 "," 2,928 "," 10,634 ", -   ,
, Little Andrew * , -   ," 2,942 "," 26,886 "," 22,477 "," 52,305 ", -   ,
, Mahuta Nanaia ," 6,444 "," 1,875 "," 8,133 "," 3,362 "," 19,814 ", -   ,
, Mallard Trevor , -   , 709 ," 7,072 "," 7,806 "," 15,587 ", -   ,
, Moroney Sue ," 6,444 ", 418 ," 9,455 "," 9,376 "," 25,693 ", -   ,
, Nash Stuart ," 6,444 ", 749 ," 6,997 "," 3,003 "," 17,193 ", -   ,
, O'Connor Damien ," 4,528 "," 1,176 "," 13,487 "," 12,034 "," 31,224 ", -   ,
, Parker David * ," 4,511 ", 449 ," 13,546 "," 3,682 "," 22,187 ", -   ,
, Robertson Grant , -   ," 1,359 "," 6,010 "," 1,597 "," 8,967 ", -   ,
, Rurawhe Adrian ," 6,444 "," 2,631 "," 2,830 "," 5,559 "," 17,463 ", -   ,
, Sepuloni Carmel ," 4,511 ", 462 ," 7,333 "," 3,241 "," 15,546 ", -   ,
, Shearer David ," 2,974 ", -   ," 5,169 "," 8,681 "," 16,823 ", -   ,
, Salesa Jenny ," 3,800 ", 744 ," 14,535 "," 4,413 "," 23,492 ", -   ,
, Sio Su'a William ," 4,213 ", 747 ," 6,880 "," 4,123 "," 15,962 ", -   ,
, Tirikatene Rino ," 3,866 "," 2,520 "," 7,861 "," 4,312 "," 18,559 ", -   ,
, Twyford Phil ," 3,937 ", 118 ," 10,418 "," 6,470 "," 20,941 ", -   ,
, Wall Louisa ," 6,444 ", 107 ," 7,702 "," 5,951 "," 20,203 ", -   ,
, Whaitiri Meka * ," 4,600 "," 1,782 "," 7,980 "," 7,040 "," 21,402 ", -   ,
, Williams Poto * ," 6,444 ", 165 ," 9,008 "," 5,216 "," 20,833 ", -   ,
, Woods Megan ," 6,444 ", 284 ," 9,497 "," 4,632 "," 20,856 ", -   ,
Labour Total,," 127,310 "," 30,510 "," 278,076 "," 193,976 "," 629,871 ", -   ,
,,,,,,,,
Maori, Flavell Te Ururoa , - , - ," 1,800 ", - ," 1,800 ", -   ,
, Fox Marama * ," 3,502 "," 2,527 "," 15,127 "," 9,274 "," 30,429 ", -   ,
Maori Total,," 3,502 "," 2,527 "," 16,927 "," 9,274 "," 32,230 ", -   ,
,,,,,,,,
National, Adams Amy , - , - , 930 , - , 930 , -   ,
, Bakshi Kanwaljit Singh * ," 6,444 ", 459 ," 14,408 "," 8,176 "," 29,486 ", -   ,
, Barclay Todd ," 6,444 "," 1,030 "," 8,239 "," 8,233 "," 23,946 ", -   ,
, Barry Maggie , - , - , - , - , - , -   ,
, Bayly Andrew ," 6,444 ", 310 ," 4,453 "," 4,189 "," 15,396 ","4,669",
, Bennett David ," 2,974 ", 475 ," 4,438 "," 2,726 "," 10,613 ", -   ,
, Bennett Paula , - , - , - , - , - , -   ,
, Bishop Chris , - , 493 ," 1,849 "," 3,098 "," 5,440 ", -   ,
, Borrows Chester ," 9,436 ", 274 ," 5,066 "," 1,099 "," 15,874 ", -   ,
, Bridges Simon , - , - ," 1,930 ", - ," 1,930 ", -   ,
, Brownlee Gerry , - , - ," 1,489 ", - ," 1,489 ", -   ,
, Carter David ," 9,436 ", - ," 6,108 "," 1,082 "," 16,626 "," 2,343 ",
, Coleman Jonathan , - , - , - , - , - , -   ,
, Collins Judith , - , - , 656 , - , 656 , -   ,
, Dean Jacqui ," 6,444 "," 1,393 "," 6,285 "," 11,872 "," 25,994 ", -   ,
, Doocey Matt ," 2,472 ", 165 ," 5,547 "," 7,600 "," 15,784 ", -   ,
, Dowie Sarah ," 4,511 ", 809 ," 6,155 "," 4,529 "," 16,003 ", -   ,
, English Bill , - , - ," 2,074 ", - ," 2,074 ", -   ,
, Finlayson Chris , - , - , - , - , - , -   ,
, Foss Craig , - , - , 383 , - , 383 , -   ,
, Foster-Bell Paul , - , 685 ," 3,186 "," 4,338 "," 8,209 ", -   ,
, Goldsmith Paul , - , - ," 1,045 ", - ," 1,045 ", -   ,
, Goodhew Jo , - , - , 450 , - , 450 , -   ,
, Guy Nathan , - , - , - , - , - , -   ,
, Hayes Joanne ," 6,444 "," 1,926 "," 9,687 "," 5,102 "," 23,158 ", -   ,
, Hudson Brett , - , 310 ," 7,493 "," 2,039 "," 9,842 ", -   ,
, Joyce Steven , - , - , 307 , - , 307 , -   ,
, Kaye Nikki , - , - , - , - , - , -   ,
, Key John , - , - ," 1,118 ", - ," 1,118 ", -   ,
, Korako Nuk ," 6,444 "," 1,018 "," 6,878 "," 4,905 "," 19,245 ", -   ,
, Kuriger Barbara ," 4,511 ", 896 ," 6,468 "," 5,276 "," 17,151 ", -   ,
, Lee Melissa ," 6,444 ", 870 ," 5,003 "," 5,508 "," 17,825 ", -   ,
, Lotu-liga Peseta Sam , - , - ," 1,005 ", - ," 1,005 ", -   ,
, Macindoe Tim ," 4,791 ", 310 ," 3,763 "," 2,341 "," 11,206 ", -   ,
, McClay Todd , - , - ," 2,027 ", - ," 2,027 ", -   ,
, McCully Murray , - , - , - , - , - , -   ,
, McKelvie Ian ," 6,444 ", 382 ," 4,809 "," 4,215 "," 15,849 ", -   ,
, Mitchell Mark ," 6,444 ", 729 ," 8,298 "," 8,269 "," 23,740 ", -   ,
, Muller Todd * ," 5,172 ", 96 ," 19,490 "," 3,935 "," 28,693 ", -   ,
, Naylor Jono ," 6,444 ", 349 ," 3,760 ", 722 ," 11,274 ", -   ,
, Ngaro Alfred ," 6,444 ", 875 ," 9,339 "," 10,487 "," 27,145 ", -   ,
, O'Connor Simon * ," 6,444 ", 713 ," 16,091 "," 3,682 "," 26,930 ", -   ,
, Parata Hekia , - , - , 276 , - , 276 , -   ,
, Parmar Parmjeet ," 6,444 ", 271 ," 6,263 "," 3,814 "," 16,792 ", -   ,
, Pugh Maureen ," 6,444 "," 1,291 "," 6,965 "," 4,481 "," 19,180 ", -   ,
, Reti Shane ," 6,444 ", 820 ," 5,745 "," 4,153 "," 17,161 ","2,553",
, Ross Jami-Lee * ," 4,511 ", - ," 21,603 "," 4,802 "," 30,916 ", -   ,
, Scott Alastair , - , 152 ," 1,228 "," 2,190 "," 3,570 ", -   ,
, Smith Stuart ," 6,444 ", 776 ," 6,755 "," 3,627 "," 17,601 ", -   ,
, Smith Nick , - , - ," 1,415 ", - ," 1,415 ", -   ,
, Simpson Scott ," 4,511 ", 987 ," 6,127 "," 7,424 "," 19,048 ", -   ,
, Tisch Lindsay * , - , - ," 10,973 "," 4,069 "," 15,042 ", -   ,
, Tolley Anne , - , - ," 1,469 ", - ," 1,469 ", -   ,
, Upston Louise , - , - ," 1,641 ", - ," 1,641 ", -   ,
, Wagner Nicky , - , - , 162 , - , 162 , -   ,
, Williamson Maurice ," 6,444 ", - ," 2,402 "," 4,812 "," 13,657 ", -   ,
, Woodhouse Michael , - , - , 757 , - , 757 , -   ,
, Yang Jian * ," 3,470 ", 490 ," 13,261 "," 6,422 "," 23,643 ", -   ,
, Young Jonathan ," 6,444 ", 974 ," 5,838 "," 3,580 "," 16,835 ", -   ,
National Total,," 171,781 "," 20,327 "," 273,106 "," 162,795 "," 628,009 ","9,565",
,,,,,,,,
New Zealand First,Ball Darroch," 5,275 "," 1,153 "," 5,983 "," 3,526 "," 15,937 ", -   ,
,Bindra Mahesh," 6,352 ", 718 ," 3,911 ", 563 ," 11,543 ", -   ,
,Bond Ria," 6,424 "," 1,622 "," 7,562 "," 3,470 "," 19,077 ", -   ,
,Mark Ron," 6,444 "," 1,345 "," 7,724 "," 2,055 "," 17,567 ", -   ,
,Martin Tracey," 6,444 ", 888 ," 6,576 "," 7,955 "," 21,863 ", -   ,
,Mitchell Clayton," 4,511 ", 527 ," 5,409 "," 4,068 "," 14,514 ", -   ,
,O'Rourke Denis," 6,444 ", 294 ," 5,351 "," 1,711 "," 13,800 ", -   ,
,Paraone Pita," 6,444 ", 551 ," 7,315 "," 12,862 "," 27,172 ", -   ,
,Peters Winston," 6,444 "," 1,003 "," 6,863 "," 7,787 "," 22,097 ", -   ,
,Prosser Richard," 6,444 ", 507 ," 10,282 "," 3,687 "," 20,919 ", -   ,
,Stewart Barbara," 6,444 ", 278 ," 4,930 "," 5,285 "," 16,937 ", -   ,
,Tabuteau Fletcher," 4,511 ", 641 ," 8,035 "," 3,622 "," 16,809 ", -   ,
New Zealand First Total,," 72,178 "," 9,527 "," 79,940 "," 56,591 "," 218,236 ", -   ,
,,,,,,,,
United Future, Dunne Peter , - , - , 324 , - , 324 , -   ,
United Future Total,, - , - , 324 , - , 324 , -   ,
,,,,,,,,
Grand Total,," 439,452 "," 80,643 "," 759,230 "," 458,474 "," 1,737,800 ","9,565",
,,,,,,,,
* Includes International Travel Costs,,,,,,,,
